YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0908419	0.0835274	0.4695995	0.7665565	1.1058956	0.0131028	0.9510153	1.0128661	0.7643104	0.6201901
0.1187395	0.0353392	0.4357878	0.7432845	0.9358390	0.0106059	0.8415456	0.9637152	0.6793506	0.6855326
0.1278399	0.0577142	0.2425133	0.7223636	0.9696566	0.0092531	0.9308784	0.8741796	0.4740752	0.7614124
0.1594016	0.0648963	0.6190988	0.3633356	1.1180475	0.0154573	0.8891680	0.9878257	0.7463371	0.6000917
0.1022519	0.0217299	0.3938840	0.9493068	0.5145774	0.0193133	0.9269178	0.9484759	0.6690785	0.6836788
0.1700824	0.0446538	0.4612972	0.7915267	1.0090041	0.0084989	0.9163848	0.8784275	0.7653781	0.6583440
0.1385394	0.0623082	0.4505314	0.7379056	0.9999629	0.0493367	0.4685791	0.9263859	0.6948305	0.5503769
0.1288952	0.0483836	0.3799297	0.8682670	0.7318857	0.2679918	0.2640130	0.5192860	0.8086590	0.6950322
0.2003266	0.0730774	0.3579876	0.9264051	0.7729224	0.6782262	0.2605091	0.4856376	0.4177139	0.8774749
0.1383738	0.0423858	0.3870522	0.7443581	0.9943376	0.0172695	0.9657038	0.9629176	0.6070607	0.4262447
