"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.0107906	0.0891645	0.0463315	0.4589740	0.3961616	0.7091038	0.6508159	0.6898426	0.0191909	0.0700541
50	0.0257651	0.0336504	0.0662190	0.2240786	0.3316280	0.5973595	0.1656791	0.6248603	0.0487269	0.1443643
100	0.0487413	0.0490073	0.1126657	0.2001929	0.2740410	0.2396610	0.0825870	0.8976350	0.0481273	0.0800522
150	0.0542558	0.0758379	0.4626747	0.1176684	0.0855765	0.0851676	0.0336074	0.7372473	0.0410202	0.0467191
200	0.1272802	0.1147385	0.3971217	0.1165046	0.0500183	0.0527561	0.0766895	0.6895409	0.0223389	0.0753004
250	0.1005693	0.1965925	0.4923680	0.1765253	0.0259004	0.0262130	0.0350533	0.7515675	0.0400491	0.0671307
300	0.1559370	0.2101653	0.3020413	0.1777978	0.0144729	0.0128322	0.0629870	0.7913258	0.0192707	0.0898154
350	0.1848239	0.2467297	0.1905758	0.2408607	0.0221771	0.0473211	0.0458002	0.5671632	0.0269858	0.0751233
400	0.2527211	0.2128892	0.2015363	0.2796962	0.0229414	0.0560179	0.0555969	0.6308750	0.0419546	0.0945806
450	0.2223390	0.1425758	0.1711853	0.2741598	0.0312534	0.0411963	0.0244469	0.5852188	0.0296733	0.0719899
500	0.2109376	0.1280188	0.1017335	0.4038430	0.0218700	0.0252515	0.1202563	0.7541407	0.0195894	0.0615686
550	0.1455298	0.1112633	0.0448208	0.4994476	0.0116705	0.2175798	0.5900587	0.7412465	0.0472293	0.0487560
600	0.1027744	0.1024498	0.0409385	0.6974198	0.0097919	0.4293500	0.6191102	0.7582818	0.0314639	0.0650252
650	0.0922824	0.0713803	0.0716138	0.7569763	0.0432097	0.5750276	0.6339157	0.6173941	0.0481013	0.0544308
700	0.0895650	0.0535053	0.0291871	0.8043502	0.1098387	0.7243119	0.6869415	0.7629696	0.0101147	0.0716377
750	0.0607145	0.0498280	0.0121823	0.7122692	0.1869344	0.6893883	0.7332935	0.6994180	0.0384854	0.0653466
800	0.0358222	0.0704118	0.0250724	0.6038935	0.2489432	0.6584294	0.6293374	0.8380411	0.0356565	0.0873366
850	0.0217693	0.0322928	0.0128628	0.4537729	0.2959843	0.5475678	0.6938442	0.7335465	0.0442437	0.0983070
900	0.0278087	0.0596921	0.0238530	0.5050751	0.2723738	0.7146247	0.7002696	0.7159213	0.0779115	0.0970848
950	0.0860739	0.0436283	0.0301872	0.4969770	0.4325167	0.7717883	0.7718266	0.5856949	0.0735322	0.0463154
1000	0.0518986	0.0625003	0.0521482	0.5292274	0.3478104	0.5838585	0.6401969	0.7493823	0.0491239	0.0376490

0	0.0130660	0.0755579	0.0184091	0.4387061	0.4511068	0.7807186	0.6825374	0.6915417	0.0537504	0.0866996
50	0.0219290	0.0354203	0.0335479	0.1357850	0.3613024	0.5952308	0.7833600	0.3200630	0.0557419	0.0615796
100	0.0227702	0.0619261	0.1657522	0.0429082	0.3695699	0.8374585	0.6575312	0.1944311	0.0278723	0.1011535
150	0.0407054	0.1102186	0.6216254	0.0199593	0.6063559	0.8104517	0.7129554	0.1959431	0.0203263	0.1095901
200	0.0583369	0.2169151	0.6234291	0.0169384	0.3716334	0.7646103	0.6483806	0.1705401	0.0349197	0.1563369
250	0.1243066	0.3100211	0.7747251	0.0081536	0.4010294	0.6406698	0.6291822	0.1370823	0.1206946	0.1384068
300	0.1975164	0.4000117	0.7258227	0.0000481	0.3127339	0.6618269	0.6946099	0.1719252	0.1509835	0.2146244
350	0.3237142	0.4436490	0.7407826	0.0003512	0.4337227	0.6339797	0.7349817	0.0928406	0.1637248	0.2152589
400	0.4135051	0.3765932	0.6815091	0.0004778	0.4196968	0.6707638	0.7540928	0.1553832	0.2463334	0.1901368
450	0.3510253	0.4385807	0.6289563	0.0002928	0.3885377	0.6728947	0.8106354	0.1213852	0.2815672	0.1985298
500	0.4234683	0.4393734	0.7621195	0.0008966	0.3368566	0.6694729	0.7271561	0.1010267	0.2011671	0.1740914
550	0.3889068	0.3236790	0.8651416	0.0623948	0.3450017	0.6002134	0.6706952	0.5540042	0.1981889	0.1780427
600	0.3463097	0.4187970	0.7224036	0.0731440	0.3387617	0.6185362	0.7493998	0.5884431	0.1960460	0.1641152
650	0.3689039	0.3774780	0.7533764	0.0631872	0.3290127	0.6222253	0.6951339	0.6466436	0.0737287	0.1143974
700	0.4379959	0.5049254	0.7526539	0.0557397	0.2527256	0.7245289	0.7666346	0.7067698	0.0375724	0.0640883
750	0.4531480	0.3292702	0.5176674	0.0623094	0.4159286	0.5918189	0.6352466	0.7644722	0.0434465	0.0800696
800	0.4222700	0.4151325	0.7771469	0.0796924	0.2845762	0.6255328	0.7932953	0.7695924	0.0486183	0.1018225
850	0.3489449	0.3522985	0.6247841	0.0501816	0.3902586	0.6270792	0.7303078	0.6819505	0.0480208	0.0857921
900	0.3809236	0.3202436	0.8086604	0.0649281	0.3196721	0.6959093	0.6761258	0.6086418	0.0494535	0.0629232
950	0.3719517	0.4012397	0.7134434	0.0772893	0.3273896	0.6661202	0.7931262	0.7105620	0.0159216	0.0789094
1000	0.4438885	0.4253510	0.5826640	0.0770029	0.4000816	0.6375015	0.6656741	0.6760881	0.0937134	0.1060260

0	0.0094515	0.0599840	0.0230688	0.5012833	0.4067879	0.8489628	0.6644301	0.5765553	0.0563031	0.0527764
50	0.1228562	0.0705394	0.0248651	0.1349296	0.4405852	0.6825591	0.7514782	0.6497099	0.3453757	0.3318865
100	0.1262358	0.0416900	0.0619352	0.0418204	0.4048360	0.6865907	0.7698541	0.6565460	0.5102486	0.2631585
150	0.1328792	0.0750209	0.1575854	0.0059772	0.3435932	0.6315509	0.5786360	0.5470567	0.4704618	0.3680565
200	0.2184634	0.1010793	0.2527691	0.0042564	0.3493627	0.6995586	0.7129492	0.5727492	0.6019421	0.4568698
250	0.1476723	0.1330753	0.2340367	0.0175569	0.2946577	0.7152262	0.7332804	0.5837736	0.7999732	0.4071270
300	0.1984171	0.1842204	0.3272515	0.0167016	0.4150106	0.6307726	0.6505254	0.6502465	0.7020951	0.4660801
350	0.2177663	0.1798107	0.2448198	0.0065152	0.4177772	0.5776547	0.7365812	0.6870471	0.6637744	0.4970336
400	0.2921580	0.1288995	0.2273067	0.0107091	0.2911425	0.6764077	0.7520083	0.5172704	0.8189853	0.3490458
450	0.2437534	0.1382110	0.2419563	0.0026224	0.3242952	0.6954901	0.5435548	0.6112849	0.7675928	0.3825481
500	0.2729802	0.1447738	0.2354496	0.0002437	0.3213621	0.6440508	0.8044449	0.6281446	0.6954883	0.4319833
550	0.1881086	0.1022194	0.5314087	0.3119362	0.3575780	0.7197464	0.6643497	0.5666636	0.7003537	0.2176604
600	0.1672766	0.2296580	0.4334625	0.2568382	0.3032847	0.6649219	0.7769988	0.6359892	0.4084341	0.1149024
650	0.1975907	0.2691948	0.1646631	0.3300714	0.2854527	0.7565542	0.7780817	0.6061730	0.2148243	0.1406779
700	0.3072453	0.1263408	0.0913433	0.3751944	0.3538798	0.7048959	0.7693872	0.6251112	0.0919110	0.0467296
750	0.2594563	0.1195500	0.0553887	0.4952303	0.4402172	0.7568690	0.6707312	0.7385572	0.0673092	0.0575940
800	0.0728490	0.0960280	0.0494470	0.5032321	0.4187047	0.6579729	0.6695835	0.8706115	0.0688414	0.1002800
850	0.0826160	0.1213717	0.0385005	0.5053327	0.3628576	0.6425048	0.6476849	0.8201584	0.0627340	0.0586041
900	0.0546513	0.0630216	0.0341171	0.5296091	0.4129030	0.6788102	0.6327901	0.7916347	0.0549677	0.0811956
950	0.0162287	0.0659044	0.0242173	0.4937124	0.3161848	0.6961566	0.7783444	0.6697533	0.0301943	0.0608417
1000	0.0494106	0.0807050	0.0430490	0.3530043	0.3442600	0.6776196	0.7613374	0.7557421	0.0453412	0.0688600

0	0.0162483	0.0597485	0.0376503	0.5149545	0.3949389	0.7534820	0.7551435	0.7894074	0.0518959	0.0544995
50	0.0725894	0.1791753	0.0859523	0.5004212	0.3651828	0.7527324	0.5923131	0.6411576	0.0482571	0.0987728
100	0.1173398	0.1429342	0.0474748	0.4569889	0.3980549	0.6918627	0.5908604	0.6384196	0.0573443	0.0702856
150	0.0941321	0.2013068	0.0471181	0.4806572	0.3193532	0.5769323	0.5509840	0.6981324	0.0315160	0.0837388
200	0.1106143	0.1745237	0.0331736	0.4932406	0.3439112	0.5363075	0.6087022	0.7452691	0.0636836	0.0763327
250	0.1345755	0.1919255	0.0202923	0.5234915	0.4078884	0.6149544	0.5130966	0.7071873	0.0684944	0.0886323
300	0.1468075	0.1725610	0.0680747	0.5659813	0.3350560	0.6255070	0.6011424	0.7171067	0.0465944	0.0821385
350	0.1352638	0.1858392	0.0547785	0.5017317	0.4295589	0.6176869	0.5009349	0.6226253	0.0525082	0.0551115
400	0.1554912	0.1909584	0.0445727	0.3823756	0.2499050	0.5406288	0.5858122	0.6337442	0.0623927	0.0663601
450	0.1882451	0.1702102	0.0490014	0.5124890	0.2224533	0.7276417	0.5805230	0.6271114	0.0295742	0.1046741
500	0.1711700	0.2183025	0.0477948	0.5553724	0.2053807	0.7276891	0.6091303	0.7861689	0.0112841	0.0593115
550	0.0991806	0.1380260	0.0288880	0.4893173	0.2689648	0.5836981	0.7914678	0.6173313	0.0180397	0.0597845
600	0.1048712	0.0767116	0.0310796	0.5015358	0.2534576	0.7366107	0.7370544	0.6545173	0.0420451	0.0667687
650	0.1016433	0.0352468	0.0519372	0.5074583	0.3111825	0.6803244	0.7556944	0.7648815	0.0375616	0.0963143
700	0.0727839	0.0636594	0.0374995	0.4711372	0.4240984	0.7091380	0.7029756	0.8113316	0.0480378	0.0849840
750	0.0209981	0.0846581	0.0520555	0.5493462	0.3264816	0.6855607	0.6578219	0.5958192	0.0289312	0.0903528
