YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0000000	0.4034220	0.6390434	0.6022355	0.9747138	0.1263166	0.1265597	0.0856321	0.1179440	0.3940976
0.0917185	0.0000000	0.6210163	0.5633885	0.8552027	0.1181629	0.1016313	0.0542790	0.0398576	0.2798123
0.0841143	0.0377777	0.0000000	0.5846951	0.9830574	0.1288900	0.1145369	0.0852003	0.1319470	0.2895835
0.0892046	0.0308232	0.0807082	0.0000000	0.9923246	0.1421728	0.0977863	0.0749015	0.0076608	0.0800416
0.6675368	0.8996494	1.0090224	0.9757981	0.0000000	0.3725280	0.2840297	0.5040278	0.6196629	0.8251309
0.1147882	0.3831527	0.6241745	0.5745321	0.9325945	0.0000000	0.0930600	0.0696883	0.0822797	0.3030386
0.0846332	0.3038996	0.6315456	0.5036326	0.9912184	0.1149911	0.0000000	0.0964038	0.0652112	0.1849051
0.1142253	0.3882875	0.6400039	0.5869384	0.8973807	0.1318900	0.1392940	0.0000000	0.0661124	0.2535089
0.1300496	0.6053683	0.6737283	0.5828414	0.9728254	0.1454330	0.1198870	0.0848684	0.0000000	0.2451139
0.1442787	0.4439358	0.6368332	0.5500785	0.8726898	0.1334702	0.0952626	0.0633866	0.0027288	0.0000000
