YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.9717821	1.0445769	0.0566798	0.9512223	0.0000000	0.9348799	0.0119507	0.1061039	1.0332210
0.0000000	0.0000000	1.1216295	0.0344396	0.9869760	0.9731205	1.1774327	0.0080102	0.0817731	0.9602347
0.0000000	0.9921281	0.0000000	0.0826289	0.9677751	1.0740024	0.9805464	0.0162729	0.0721315	1.1538961
0.0000000	0.9805033	1.0569369	0.0658928	1.0808423	0.9395552	1.0319402	0.0000000	0.0711371	1.0776730
0.0000000	0.9193482	1.0015464	0.0642551	1.0426460	1.0267666	1.0904075	0.0164588	0.0000000	0.7999121
0.0000000	1.1074925	1.0997281	0.0757869	1.0715512	1.1000904	0.9185191	0.0105413	0.0775928	0.0000000
0.0465576	0.0000000	0.9149398	0.0638985	1.0041647	0.0000000	0.9335711	0.0097909	0.0981293	0.9846424
0.0639893	0.0000000	1.0271093	0.0810381	0.9813432	0.9025941	1.0552064	0.0164958	0.1127379	0.0000000
0.8004336	0.6504955	0.9406616	0.0645713	0.9839988	0.0012485	0.8202056	0.0335485	0.0000000	1.0581475
0.7923209	0.6469588	0.9990004	0.0939647	0.9946283	0.0000000	1.0332400	0.0292852	0.0678552	0.0000000
