YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000000	0.6964634	0.0475350	0.7790583	0.5879091	0.6287685	0.5868308	0.8285441	0.5635465	0.7078823
0.6944145	0.0000000	0.0190801	0.7943123	0.5915860	0.6274497	0.6317880	0.7373437	0.6321440	0.6301065
0.0906717	0.6884544	0.0000000	0.5941787	0.5997728	0.5659035	0.5274150	0.7408717	0.4761494	0.7284029
0.7378320	0.0436059	0.4675461	0.0000000	0.2606342	0.5119201	0.6076794	0.7925541	0.0595301	0.7315033
0.7753290	0.0339143	0.8375754	0.0262576	0.0000000	0.5338294	0.6154794	0.6518104	0.0381107	0.7062606
0.0691090	0.6134364	0.0228040	0.6436802	0.6885147	0.0000000	0.5140115	0.6781184	0.6076743	0.6261626
0.0846813	0.6863759	0.0402493	0.7122364	0.6905130	0.0190977	0.0000000	0.7626585	0.4735412	0.7162549
0.0617396	0.7126462	0.0183543	0.6366575	0.6011919	0.1181189	0.0192480	0.0000000	0.6578643	0.6117087
0.0652186	0.5650666	0.0617040	0.6998504	0.6990768	0.4214812	0.5023056	0.7067151	0.0000000	0.8636877
0.0783609	0.5949642	0.0305566	0.7615430	0.5464174	0.5515764	0.5398481	0.7329421	0.5542076	0.0000000
