YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.5879079	0.3796285	0.1889265	0.7014158	0.6912381	0.4983907	0.6571945	0.5311739	0.3759347	0.6299801
0.6272607	0.6025413	0.3172773	0.4356952	0.5156403	0.5260377	0.7813503	0.6316187	0.6996136	0.6726186
0.6218188	0.4253207	0.2802694	0.8177377	0.5435032	0.3875812	0.6263041	0.7377384	0.7651511	0.6193970
0.5621095	0.4200909	0.0946962	0.7331590	0.7630356	0.4963672	0.6680472	0.2915942	0.7472669	0.7817672
0.5828536	0.3819032	0.2506607	0.4573473	0.7540456	0.4824728	0.5346691	0.7258017	0.6429064	0.6231713
0.5127035	0.3441968	0.2080695	0.8485726	0.5501627	0.6553404	0.6339786	0.6268560	0.7723315	0.5593699
0.6616632	0.3150798	0.1863221	0.7489583	0.7318308	0.5158904	0.6535873	0.7047338	0.6389054	0.4509609
0.7723323	0.4163905	0.2471937	0.5369893	0.5284382	0.3706297	0.6274783	0.7688905	0.5719283	0.4107833
0.6712261	0.5218088	0.2465804	0.7091071	0.6728141	0.3465903	0.8682221	0.6706242	0.6276224	0.6958453
0.5348587	0.4434336	0.1930412	0.7429437	0.6741855	0.2942478	0.6126071	0.7197530	0.6940550	0.7280720
