YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0000011	0.3250202	0.1528541	0.4501756	0.9838378	0.0619290	0.0494192	0.6079170	1.0000000	0.9305664
0.3952912	0.0000003	0.1528581	0.4501786	0.9838366	0.0619304	0.0494192	0.6079170	1.0000000	0.9305463
0.3902936	0.0186366	0.0000007	0.4446560	0.9882590	0.0496985	0.0494192	0.6079170	1.0000000	0.9998051
0.0202030	0.0472238	0.0334420	0.0000000	0.9881459	0.0500273	0.0494192	0.6079170	1.0000000	0.9997920
0.7281061	0.8404753	0.5948515	1.0000000	0.0000001	0.2743302	0.0494192	0.6079170	1.0000000	0.2317195
0.3765474	0.2927461	0.1398740	0.4301397	1.0000000	0.0000000	0.0494192	0.6079170	1.0000000	0.9575327
0.3878427	0.3121654	0.1475737	0.4420844	0.9903345	0.0434429	0.0000000	0.6079170	1.0000000	0.9426238
0.6458423	0.7596713	0.4467241	0.8062097	0.7179992	0.5425415	1.0000000	0.0000000	1.0000000	0.0525118
0.4154480	0.3613768	0.1680020	0.4724341	0.9663798	0.1031513	0.1193297	0.0925649	0.0000000	0.9975411
0.3952850	0.3250183	0.1528537	0.4501753	0.9838380	0.0619288	0.0494192	0.6079170	1.0000000	0.0000001
