YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0257628	0.7398261	0.5382453	0.8887650	1.0847980	0.6621266	0.5219858	0.9292154	0.5761407	0.4282605
0.0185120	0.8181262	0.5855526	0.9918294	0.8794912	0.5530025	0.3822138	0.9526591	0.5073108	0.4344906
0.0125103	1.0518152	0.4279288	0.8329835	0.4307961	0.6025558	0.3838956	0.9388429	0.6554580	0.4273295
0.0144916	0.7884083	0.5255464	0.9615147	0.8853819	0.6929624	0.4153074	0.8765306	0.5584673	0.4305914
0.0193403	0.7438047	0.4579535	1.0454000	1.0408089	0.4542825	0.4650234	0.8590227	0.6603353	0.3632333
0.0015639	0.8800851	0.5593789	0.9680489	0.6244055	0.7265470	0.5320019	0.7502479	0.3615047	0.4684175
0.0142882	0.9262354	0.4916779	0.9430749	1.0259613	0.6976682	0.5831465	0.8249711	0.6265929	0.3791852
0.0232044	0.7012014	0.4761632	0.9051791	1.0917151	0.7780059	0.3783732	0.8448361	0.6443112	0.4388158
0.0153324	0.7623152	0.7049411	1.0430680	0.9328125	0.6973585	0.5190571	0.8188287	0.6088367	0.5170388
0.0273569	0.7533677	0.5127127	0.9856189	0.9639490	0.6758937	0.4315434	0.8545889	0.6224921	0.4321955
