YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	1.0000000	0.0771499	0.9088448	0.2965834	1.0000000	0.0000012	0.9081704	0.6837571	1.0000000
0.0298100	0.0000000	0.0670468	0.0000000	0.2966518	0.9996130	0.5208995	0.9082335	0.6838980	1.0000000
0.7917360	1.0000000	0.0000000	1.0000000	0.0000000	0.7853267	0.3683028	0.9346452	0.7708231	1.0000000
0.7917360	1.0000000	0.0776029	0.9993340	0.0000000	0.0980364	0.9999895	0.0000000	0.9981348	1.0000000
0.7917360	1.0000000	0.0736246	0.4608747	0.9999994	0.0000001	0.7679160	0.9698997	0.9999998	0.0000008
