"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.8941301	0.9621734	0.8789080	0.9872256	0.0716479	0.1452650	0.8902234	0.3405565	1.0325112	1.0778545
50	0.8293697	1.0638634	1.0103869	1.0026374	0.0430158	0.0539437	0.8715462	0.1171214	1.0806332	1.0408803
100	0.7825011	0.9295481	0.9433111	1.0039076	0.0156860	0.0356596	0.9649009	0.0434093	1.0404721	1.0297715
150	0.7721229	0.8842827	0.9827461	1.0393130	0.0075038	0.0287791	0.9759581	0.0633476	1.1141064	1.0172592
200	0.7541741	1.0169781	0.9074255	1.0283017	0.0120755	0.0481465	1.0511841	0.0525952	1.0555696	1.0716451
250	0.6777053	1.0503265	0.9549468	1.0742340	0.0060357	0.0200294	1.0332564	0.0353694	1.1429736	1.0125129
300	0.8096473	0.9795127	1.0037334	1.0534236	0.0116555	0.0180471	0.9504366	0.0383010	1.0269813	1.0138387
350	0.8500559	1.0213268	0.9335639	1.0376675	0.0089661	0.0263130	0.9830864	0.0533684	0.9602967	0.9841084
400	0.8319604	1.0172844	0.9275128	1.1240677	0.0152889	0.0295306	0.9624642	0.0619750	1.0275676	0.9414837
450	0.8649911	1.0002380	0.9735387	1.0672613	0.0043163	0.0259480	0.9347460	0.0516672	1.0187546	0.9645343
500	0.8278480	1.0401116	0.8747261	1.0236047	0.0030070	0.0166705	1.0370995	0.0371583	1.1004251	0.9937102
550	0.7344976	0.9987829	0.9313790	1.0609717	0.0185241	0.1263805	0.9941462	0.2068147	1.1000848	0.9668736
600	0.8162439	1.0404334	0.9621890	1.1138624	0.0294651	0.1530452	1.0025668	0.3192069	0.9993238	0.9282678
650	0.9093855	0.8423319	0.9600877	0.9297832	0.0481015	0.1215395	0.8994477	0.3308675	0.9187530	0.9712465
700	0.9371401	0.9970500	1.0207934	0.9490933	0.0403475	0.1318088	0.8778790	0.2810640	0.9616706	1.0172967
750	0.8470374	1.0361231	0.9589806	1.1071630	0.0304857	0.1265908	0.9205614	0.3120056	0.9678626	1.0189977
800	0.8443916	1.0460270	0.9506800	1.0444960	0.0655987	0.1381924	0.8827544	0.3687281	0.9296914	1.0117238
850	0.9550260	0.9890802	0.9975687	1.0083447	0.0560683	0.1328110	0.8787946	0.3436645	0.9831087	0.8943962
900	0.9639939	1.0114080	1.0540086	0.9532351	0.0606151	0.1229938	0.9018768	0.3691218	0.9187062	1.0663608
950	0.9678597	0.9690562	0.9544481	0.8779519	0.0451172	0.1277313	0.8833351	0.3231978	0.9126118	0.8755456
1000	0.8421792	0.9070594	0.9485779	1.0166474	0.0451813	0.1263848	0.8328262	0.3756199	0.9124521	0.8753310

0	0.8941301	0.9621734	0.8789080	0.9872256	0.0716479	0.1452650	0.8902234	0.3405565	1.0325112	1.0778545
50	0.6388079	1.0576970	0.9406397	0.9705158	0.4406392	0.1415076	0.9310874	0.0875719	1.0822240	0.9726833
100	0.4705742	0.9959743	0.8820531	0.9509879	0.4444954	0.1482211	0.9130568	0.0116264	1.0651778	1.0245983
150	0.4827635	0.9646110	0.9093450	0.8879975	0.4734550	0.1316547	0.9174462	0.0040090	1.1150249	0.9510806
200	0.4919381	0.9964949	0.9198921	0.8721659	0.4693930	0.1101151	1.0198350	0.0117857	1.0650088	1.0068201
250	0.5101294	0.9550150	0.9257749	0.7420285	0.4765341	0.1383640	0.9496528	0.0016066	1.0567969	1.0110832
300	0.5184183	1.0216653	0.9360656	0.7658698	0.3972304	0.1337423	1.0808901	0.0038080	0.9615561	1.0236136
