"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.9002511	0.0850729	0.0044001	1.0000000	0.9403480	0.3910542	0.9418046	0.9999999	0.9455371	1.0000000
50	0.7549544	0.5299070	0.0044001	1.0000000	0.8735728	0.3885055	0.9418120	0.9999999	0.9455628	1.0000000
100	0.4886688	0.6878739	0.0044001	1.0000000	0.7660431	0.3652524	0.9418148	0.9999999	0.9455734	1.0000000
150	0.3345805	0.7439702	0.0044001	1.0000000	0.7188943	0.3263496	0.9418158	0.9999999	0.9455777	1.0000000
200	0.2623965	0.7638908	0.0044001	1.0000000	0.7118156	0.2946766	0.9418162	0.9999999	0.9455795	1.0000000
250	0.2306298	0.7709648	0.0044001	1.0000000	0.7155034	0.2781697	0.9418164	0.9999999	0.9455802	1.0000000
300	0.2170616	0.7734769	0.0044001	1.0000000	0.7185120	0.2722583	0.9418164	0.9999999	0.9455805	1.0000000
350	0.2113789	0.7743690	0.0044001	1.0000000	0.7196540	0.2709569	0.9418165	0.9999999	0.9455806	1.0000000
400	0.2090347	0.7746858	0.0044001	1.0000000	0.7198494	0.2709630	0.9418165	0.9999999	0.9455806	1.0000000
450	0.2080799	0.7747983	0.0044001	1.0000000	0.7197785	0.2711131	0.9418165	0.9999999	0.9455807	1.0000000
500	0.2076951	0.7748383	0.0044001	1.0000000	0.7197017	0.2711782	0.9418165	0.9999999	0.9455807	1.0000000
550	0.2280340	0.3300179	0.0044001	1.0000000	0.7452929	0.2721977	0.9418165	0.9999999	0.9455807	1.0000000
600	0.3320237	0.1720559	0.0044001	1.0000000	0.8165401	0.2837045	0.9418165	0.9999999	0.9455807	1.0000000
650	0.5143021	0.1159613	0.0044001	1.0000000	0.8815642	0.3100922	0.9418165	0.9999999	0.9455807	1.0000000
700	0.6847882	0.0960414	0.0044001	1.0000000	0.9166603	0.3401825	0.9418165	0.9999999	0.9455807	1.0000000
750	0.7936700	0.0889675	0.0044001	1.0000000	0.9307967	0.3632355	0.9418165	0.9999999	0.9455807	1.0000000
800	0.8510958	0.0864555	0.0044001	1.0000000	0.9362126	0.3771251	0.9418165	0.9999999	0.9455807	1.0000000
850	0.8785740	0.0855634	0.0044001	1.0000000	0.9385084	0.3844199	0.9418165	0.9999999	0.9455807	1.0000000
900	0.8910002	0.0852466	0.0044001	1.0000000	0.9395456	0.3879892	0.9418165	0.9999999	0.9455807	1.0000000
950	0.8964145	0.0851341	0.0044001	1.0000000	0.9400105	0.3896765	0.9418165	0.9999999	0.9455807	1.0000000
1000	0.8987115	0.0850942	0.0044001	1.0000000	0.9402116	0.3904584	0.9418165	0.9999999	0.9455807	1.0000000

0	0.9002511	0.0850729	0.0044001	1.0000000	0.9403480	0.3910542	0.9418046	0.9999999	0.9455371	1.0000000
50	0.7262793	0.6428782	0.0044001	1.0000000	0.8967787	0.3926161	0.9723815	0.5962894	0.9455782	0.7243815
