"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.2144701	0.4391243	0.4673660	0.9651606	0.5233907	0.9799641	0.9696166	0.3939004	0.1681464	1.0000000
50	0.2147545	0.4381146	0.4913839	0.7413814	0.5233520	0.9791837	0.9666635	0.3211395	0.0527665	1.0000000
100	0.2158512	0.4262631	0.5707043	0.6426971	0.5225924	0.9677053	0.9038053	0.1512800	0.0185990	1.0000000
150	0.2174183	0.4004353	0.6590958	0.5992974	0.5161927	0.8934464	0.4789111	0.0511507	0.0093020	1.0000000
200	0.2189047	0.3725800	0.7258922	0.5810701	0.4704525	0.4994090	0.1178213	0.0158700	0.0073440	1.0000000
250	0.2199694	0.3511625	0.7673580	0.5773270	0.2995659	0.1114548	0.0485793	0.0054999	0.0072644	1.0000000
300	0.2205269	0.3374105	0.7890195	0.5811627	0.1222822	0.0205101	0.0389390	0.0026200	0.0074413	1.0000000
350	0.2207030	0.3296366	0.7979490	0.5842320	0.0480635	0.0065433	0.0376430	0.0018321	0.0075098	1.0000000
400	0.2207098	0.3257656	0.8006246	0.5856675	0.0271346	0.0045668	0.0374693	0.0016163	0.0074975	1.0000000
450	0.2206757	0.3240957	0.8009598	0.5863029	0.0219800	0.0042884	0.0374461	0.0015564	0.0074659	1.0000000
500	0.2206450	0.3234984	0.8006673	0.5865831	0.0207634	0.0042479	0.0374429	0.0015394	0.0074398	1.0000000
550	0.2195038	0.3238422	0.7737895	0.8176662	0.0204806	0.0042454	0.0374425	0.0052213	0.1569070	1.0000000
600	0.2172537	0.3301385	0.6882097	0.9195833	0.0204181	0.0048290	0.0374849	0.0525251	0.1805650	1.0000000
650	0.2157372	0.3470313	0.5969747	0.9645329	0.0204931	0.0127031	0.0533945	0.1357329	0.1774830	1.0000000
700	0.2149489	0.3714467	0.5301496	0.9843576	0.0222619	0.1030076	0.2652850	0.2089001	0.1723763	1.0000000
750	0.2145713	0.3967755	0.4888622	0.9931010	0.0760430	0.5572916	0.6165844	0.2650079	0.1690475	1.0000000
800	0.2143957	0.4178367	0.4655961	0.9969554	0.2600328	0.8502024	0.8178316	0.3088163	0.1672506	1.0000000
850	0.2143152	0.4327556	0.4532174	0.9984512	0.4089772	0.9385457	0.9029964	0.3425290	0.1663529	1.0000000
900	0.2142802	0.4421443	0.4470419	0.9970678	0.4793447	0.9644470	0.9391280	0.3669079	0.1659403	1.0000000
950	0.2142734	0.4474661	0.4449048	0.9914586	0.5069134	0.9734683	0.9557530	0.3832583	0.1658496	1.0000000
1000	0.2142910	0.4499076	0.4460499	0.9836939	0.5171088	0.9772753	0.9640170	0.3935165	0.1660418	1.0000000

0	0.2144701	0.4391243	0.4673660	0.9651606	0.5233907	0.9799641	0.9696166	0.3939004	0.1681464	1.0000000
50	0.2147076	0.2622028	0.4877173	0.7744231	0.5233549	0.9792578	0.9775378	0.3245815	0.1708402	1.0000000
100	0.2155773	0.2161167	0.5545889	0.6903117	0.5227056	0.9703925	0.9490263	0.1942965	0.1809457	1.0000000
150	0.2167371	0.1917950	0.6295206	0.6533206	0.5187148	0.9379937	0.7984383	0.1190802	0.1945877	1.0000000
200	0.2177721	0.1724998	0.6869378	0.6375141	0.5047411	0.8477830	0.5675459	0.0853029	0.2067676	1.0000000
250	0.2184899	0.1583210	0.7233200	0.6321370	0.4662747	0.6758504	0.4523465	0.0689263	0.2152060	1.0000000
300	0.2188898	0.1491337	0.7434158	0.6331568	0.3921316	0.4928876	0.4162566	0.0594647	0.2199396	1.0000000
350	0.2190418	0.1437715	0.7524670	0.6377284	0.2998918	0.3669780	0.4053347	0.0534376	0.2218087	1.0000000
400	0.2190353	0.1410009	0.7546894	0.6423598	0.2207398	0.2950863	0.4015246	0.0495320	0.2218403	1.0000000
450	0.2189620	0.1398528	0.7535520	0.6453352	0.1674832	0.2552236	0.3999347	0.0470449	0.2210696	1.0000000
500	0.2188848	0.1396068	0.7514699	0.6468773	0.1358323	0.2326190	0.3991742	0.0455383	0.2202156	1.0000000
550	0.2181086	0.2923402	0.7260619	0.8442306	0.1149625	0.1847152	0.0909262	0.0898028	0.2116038	1.0000000
600	0.2165431	0.3324796	0.6513093	0.9312901	0.0956654	0.2093147	0.1611213	0.2067946	0.1934975	1.0000000
650	0.2154246	0.3562424	0.5734040	0.9696923	0.1245735	0.5361453	0.5877074	0.2806394	0.1801110	1.0000000
700	0.2148161	0.3806251	0.5166832	0.9866171	0.2726010	0.8455204	0.8283052	0.3104932	0.1726626	1.0000000
750	0.2145150	0.4039128	0.4816724	0.9937522	0.4108719	0.9377068	0.9041659	0.3277573	0.1689199	1.0000000
800	0.2143739	0.4226295	0.4621435	0.9946332	0.4792825	0.9623934	0.9311726	0.3451929	0.1671443	1.0000000
850	0.2143181	0.4355205	0.4527561	0.9900556	0.5062243	0.9708094	0.9457103	0.3628336	0.1664224	1.0000000
900	0.2143132	0.4430838	0.4501344	0.9829554	0.5161586	0.9748713	0.9556862	0.3779939	0.1663246	1.0000000
950	0.2143368	0.4464773	0.4516450	0.9764735	0.5200076	0.9773008	0.9625472	0.3891357	0.1665781	1.0000000
1000	0.2143706	0.4470340	0.4549912	0.9718387	0.5217216	0.9788244	0.9669470	0.3960885	0.1669637	1.0000000

0	0.2144701	0.4391243	0.4673660	0.9651606	0.5233907	0.9799641	0.9696166	0.3939004	0.1681464	1.0000000
50	0.2144699	0.3276741	0.4673415	0.9651766	0.5237851	0.9827231	0.9648363	0.2893175	0.0563451	1.0000000
100	0.2144698	0.3030285	0.4673255	0.9651380	0.5235929	0.9693046	0.8551717	0.1136968	0.0223791	1.0000000
150	0.2144698	0.2975821	0.4673246	0.9652562	0.5159005	0.8713128	0.3406206	0.0358450	0.0120602	1.0000000
200	0.2144685	0.2963838	0.4672073	0.9670651	0.4607025	0.4942069	0.0853430	0.0112699	0.0089213	1.0000000
250	0.2144575	0.2962078	0.4661574	0.9750478	0.3143118	0.2686361	0.0439640	0.0042283	0.0079346	1.0000000
300	0.2144220	0.2966821	0.4625904	0.9863244	0.1882035	0.2249686	0.0383173	0.0022734	0.0075337	1.0000000
350	0.2143694	0.2981618	0.4568956	0.9936152	0.1307485	0.2185188	0.0375597	0.0017348	0.0072784	1.0000000
400	0.2143216	0.3005756	0.4512519	0.9971372	0.1110828	0.2176121	0.0374582	0.0015855	0.0070978	1.0000000
450	0.2142886	0.3032825	0.4469823	0.9987264	0.1052465	0.2174838	0.0374446	0.0015433	0.0069818	1.0000000
