YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0274241	0.2847338	0.9209017	0.2787509	0.5375764	0.6074474	0.9006405	0.0225778	0.1893127	0.5831125
0.0596254	0.1508397	0.8901079	0.2640211	0.5697981	0.5464638	0.8797211	0.0278202	0.2059802	0.5718611
0.0944657	0.3549759	0.4665270	0.2978885	0.5995483	0.6501084	1.0185444	0.0108480	0.1582083	0.4540441
0.0654200	0.3552088	1.0695278	0.0986722	0.5864333	0.6244842	0.9917538	0.0179781	0.2014422	0.5871616
0.0633873	0.2316363	0.6512018	0.6268848	0.2439155	0.7008797	1.1021882	0.0216139	0.1640642	0.4686188
0.0860044	0.3132998	1.0646583	0.2348927	0.6087444	0.3439599	1.1357044	0.0146289	0.1438751	0.5573541
0.0630472	0.3597207	0.8805888	0.2160671	0.8441326	0.2123246	0.5252832	0.0130130	0.1682970	0.3173043
0.0973965	0.3389465	0.9427629	0.2935144	0.4922739	0.6146935	0.9948403	0.0063673	0.1595159	0.4986167
0.0707383	0.3577829	0.9874202	0.3231142	0.5130770	0.5874303	0.9596515	0.0173225	0.0831102	0.5290626
0.0900350	0.4446836	0.8959603	0.3572035	0.4721152	0.6530508	0.9827326	0.0254292	0.1516488	0.2903573
