YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.7087956	0.4107526	0.5659369	0.7542975	0.6232166	0.2289706	0.9111472	0.5236363	0.8579722	0.9401050
0.4975201	0.0853385	0.3939689	0.5042821	0.9220239	0.1131634	1.0362067	0.4605964	0.7849903	0.9883342
0.5588910	0.8377485	0.4546935	0.7816829	0.2476115	0.3619608	0.6973632	0.3958300	0.7093757	0.9195705
0.4823248	0.1386029	0.4020638	0.5720976	0.9240181	0.1365301	0.5590844	0.5409694	0.8068799	1.1027241
0.7245888	0.4062420	0.5108781	0.8095485	0.5372722	0.2868023	0.8774197	0.5455589	0.6556813	0.7562336
0.7765630	0.3058978	0.4094124	0.6718137	0.6717823	0.2186511	0.9364324	0.2865970	0.5643729	0.8417072
0.8617168	0.8784622	0.2468385	0.5197182	0.0155970	0.5191621	0.4774672	0.5816759	0.7871919	0.8802693
0.3998903	0.8333089	0.7164991	0.8943033	0.3907781	0.2705446	0.6945181	0.3196687	0.6583313	0.9475991
0.4878245	0.1267143	0.4413985	0.5549121	0.9817218	0.1047286	0.8695742	0.7104751	0.8946954	0.9676858
0.9668837	0.8989652	0.5597959	0.9613380	0.1405141	0.4278762	0.4721326	0.1789051	0.5840610	0.7938093
