YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.1372047	0.6000565	0.5241001	0.5527293	0.6534399	0.1889385	0.2811743	0.2433024	0.1761097	0.1402275
0.7579053	0.8174361	0.9073621	0.9640927	0.1599353	0.5809456	0.4332393	0.6118646	0.5724676	0.8326451
0.2517413	0.2866546	0.4892033	0.3245153	0.9515471	0.0310432	0.1956022	0.0006076	0.0025325	0.0907571
0.4113070	0.5787164	0.8762276	0.5313814	0.8586824	0.1000990	0.0115490	0.1483670	0.0267856	0.1450749
0.0000313	0.0000708	0.0968316	0.4999361	0.8482975	0.1225738	0.1780289	0.2087790	0.0775225	0.1917454
0.1946357	0.6050685	0.8410091	0.4650389	0.6774323	0.2234789	0.0059666	0.0580646	0.1814768	0.3686392
0.4331379	0.7706367	0.7767771	0.5204613	0.7876340	0.0434845	0.1278997	0.3094645	0.0386197	0.1747123
0.4051258	0.5409489	0.7224178	0.4139030	0.6514840	0.1268198	0.1023538	0.2659356	0.0676826	0.2238277
0.3517871	0.6947478	0.6684971	0.3946827	0.7832548	0.0000175	0.0000047	0.0000921	0.0205556	0.2198583
0.3064593	0.5491521	0.7227672	0.7799961	0.4036897	0.0997361	0.2090227	0.4863283	0.4481782	0.4558614
