YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000000	0.3110589	0.6800883	0.9707024	0.1944024	0.3599173	0.4780487	0.0493702	0.9337453	0.2591219
0.0719669	0.0000000	0.5138609	0.9892258	0.1213370	0.6214461	0.8043342	0.1852955	0.8140015	0.3722857
0.9996191	0.9999820	0.0000025	0.9911661	0.1103968	0.6921118	0.9362094	0.5634776	0.9977499	0.0891208
0.9963140	0.3956215	0.4781266	0.0000000	0.1096507	0.6979193	0.9489656	0.6935382	0.3665171	0.7154217
0.9962898	0.3939387	0.4817270	0.9999995	0.0000019	0.6887673	0.9289997	0.5093315	0.9565121	0.2255100
0.9901199	0.2631177	0.9999842	0.4939926	0.9999959	0.0000000	0.9283264	0.5049550	0.9148126	0.2818664
0.9901704	0.2636306	0.9938227	0.5536251	0.8934168	0.0130910	0.0000000	0.5049696	0.9156562	0.2809480
0.9901826	0.2636904	0.9933464	0.5571847	0.8875774	0.0138340	0.0205011	0.0000000	0.9158178	0.2808439
0.9963677	0.3980070	0.4749647	0.9914489	0.1087265	0.7040340	0.9619045	0.9034196	0.0000001	0.2242257
0.9963634	0.3978283	0.4751022	0.9914383	0.1087556	0.7039699	0.9618723	0.9032917	1.0000000	0.0000007
