YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.0000000	0.8072169	0.4961096	1.0161751	0.3074279	0.5852549	1.1208915	0.7972681	0.5954572	0.9636273
0.0584674	0.0000000	0.4619596	0.9644828	0.3072775	0.5066521	1.0326743	0.8156107	0.5522077	0.9536376
0.7044276	1.0132366	0.0000000	0.8866698	0.3063217	0.5296087	0.9988570	1.0359570	0.5578966	1.0051111
0.1678388	0.3381584	1.1145532	0.0000000	0.3259027	0.5386984	1.1232268	0.7778669	0.5996286	1.1127879
0.5588541	0.8556887	0.4508154	0.9982528	0.0000000	0.4486302	0.9054465	0.8180185	0.5344249	0.9016705
0.5816311	0.8840063	0.4806153	0.9731576	0.0150929	0.0000000	1.1030197	0.7742595	0.6053702	0.9709697
0.5624283	0.7762257	0.5052965	0.9767511	0.3733146	0.0351740	0.0000000	0.7004239	0.5666399	1.0302003
0.5677090	0.8163359	0.4264325	0.9530877	0.3288819	0.1675506	0.3800457	0.0000000	0.5453749	1.0126359
0.4619895	0.7609590	0.4905230	1.0409887	0.2617755	0.4540025	0.8506524	0.3826830	0.0000000	0.9937766
0.6038082	0.7901294	0.4692660	0.9424856	0.3734213	0.5818437	0.9635993	1.0557571	0.0231853	0.0000000
