YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.3958681	1.0000000	0.0769696	0.8769517	0.3345437	0.8217562	0.5249289	0.9313580	0.7552343	1.0000000
0.3627694	0.5000000	0.1437532	0.8737936	0.3268862	0.8527851	0.5229192	0.9277640	0.7418510	1.0000000
0.7917360	1.0000000	0.0376300	0.6240422	0.6151283	0.2906657	0.6446386	0.9671651	0.9714742	1.0000000
0.7917360	1.0000000	0.0717654	0.3117522	0.6153360	0.2904907	0.6447558	0.9671722	0.9715274	1.0000000
0.7917360	1.0000000	0.0774702	0.9718438	0.1923596	0.6580584	0.4324212	0.9477919	0.8296435	1.0000000
0.7917360	1.0000000	0.0740425	0.4991979	0.8578510	0.1050233	0.7299419	0.9696957	0.9977804	1.0000000
0.7917360	1.0000000	0.0771003	0.8996865	0.3080503	0.9387523	0.2604217	0.9163398	0.7064676	1.0000000
0.7917360	1.0000000	0.0740787	0.5020716	0.8496202	0.1102310	0.9462636	0.4848301	0.9974767	1.0000000
0.7917360	1.0000000	0.0744760	0.5416502	0.7529239	0.1753738	0.7817942	0.7849395	0.4959118	1.0000000
0.7917360	1.0000000	0.0752159	0.6237065	0.6148830	0.2910212	0.6441665	0.9683986	0.9847051	0.5001396
