YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.3692371	0.4247906	0.5413033	0.3037409	0.3231320	1.0238241	0.7579626	0.7303481	0.9926076
0.0095161	0.0000000	0.4338394	0.5533363	0.3431204	0.3333550	1.0581644	0.7490776	0.7055721	1.0265260
0.0066733	0.0094846	0.0000000	0.4340775	0.3376335	0.4001094	0.9884983	0.7564297	0.7446973	1.0388475
0.8072580	0.7127077	1.0149904	0.0000000	0.3389238	0.3541099	0.9774420	0.0610682	0.6358386	0.9355587
0.1801072	0.2099699	0.3401400	0.9547827	0.0000000	0.3754975	1.0683917	1.0340195	0.5567958	0.9486086
0.2066488	0.2009696	0.2955515	0.9412381	0.0480336	0.0000000	0.9991728	0.9930444	0.4757508	1.0017007
0.8250513	0.6663605	1.0697933	0.0146915	0.6721813	0.8815789	0.0000000	0.0020223	0.6291514	1.0635365
0.7306374	0.5319894	0.8155787	0.1961641	0.3311193	0.4049231	1.0441132	0.0000000	0.6582746	1.0193478
0.7317448	0.5569721	0.7769754	0.1814513	0.2951890	0.3346572	1.0876564	0.2362956	0.0000000	1.0214166
0.7175384	0.5411087	0.5723472	0.3120219	0.3146794	0.3651150	1.1030655	0.3882317	0.8669502	0.0000000
