"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.1044447	0.0347601	0.4830884	0.5647873	0.6803036	0.0509405	0.0417002	0.1486368	0.4148614	0.0126109
50	0.0899564	0.0364665	0.5653261	0.6316102	0.3679013	0.0566522	0.0079084	0.3188933	0.7056714	0.0147493
100	0.0966359	0.0497573	0.6640655	0.4341886	0.3739209	0.0451655	0.0017211	0.2860430	0.8142824	0.0028035
150	0.0564361	0.0258340	0.5185813	0.3503850	0.3780768	0.0441265	0.0002208	0.4387119	0.7452008	0.0210343
200	0.0769203	0.0586257	0.7243465	0.3767105	0.3535671	0.0180218	0.0005681	0.4304460	0.7996910	0.0131091
250	0.0463402	0.0334986	0.5970679	0.2914011	0.2610363	0.0366112	0.0007407	0.2595301	0.5331063	0.0122390
300	0.0902145	0.0271716	0.5335416	0.3889187	0.3247285	0.0191459	0.0013995	0.3622725	0.6744337	0.0086850
350	0.0460212	0.0233155	0.7378189	0.3052177	0.3093338	0.0281839	0.0022036	0.3523724	0.6959653	0.0247914
400	0.0852610	0.0251553	0.5999849	0.3200766	0.3747949	0.0320102	0.0005915	0.3788462	0.6217740	0.0135735
450	0.0881970	0.0580448	0.7538749	0.2721529	0.3196523	0.0504038	0.0004770	0.4926191	0.8562833	0.0099256
500	0.1037158	0.0971556	0.7090160	0.2466888	0.3966875	0.0305615	0.0000000	0.3561687	0.6066353	0.0049537
550	0.1062807	0.0416492	0.6739175	0.2890867	0.6649498	0.0233616	0.0276232	0.2998390	0.4350424	0.0024070
600	0.0732950	0.0319472	0.6977925	0.4221538	0.7400080	0.0355265	0.0386361	0.2969636	0.3722967	0.0070666
650	0.1008005	0.0165476	0.6470052	0.6833211	0.8021943	0.0284982	0.0219465	0.1556853	0.4550810	0.0131454
700	0.0939880	0.0311244	0.6417814	0.5975730	0.8566374	0.0313939	0.0693521	0.3756579	0.5266806	0.0070044
750	0.0624661	0.0347099	0.6129631	0.6379437	0.7708818	0.0586227	0.0369885	0.1993323	0.3877297	0.0101264
800	0.0754489	0.0282700	0.5127488	0.6910815	0.7377728	0.0344254	0.0351686	0.2121048	0.4314113	0.0040868
850	0.0512744	0.0276457	0.5113999	0.5740366	0.8606773	0.0316032	0.0375406	0.2185109	0.3391568	0.0060793
900	0.0566465	0.0277284	0.6480142	0.5303056	0.7748610	0.0692149	0.0967145	0.1870084	0.4281595	0.0025013
950	0.0667464	0.0103334	0.5185517	0.5310690	0.7614685	0.1230449	0.0915113	0.2558213	0.3841971	0.0005190
1000	0.1355253	0.0324570	0.6052324	0.5265994	0.8228233	0.0519526	0.0695489	0.3401281	0.4658276	0.0129957

0	0.0736036	0.0340154	0.5237524	0.5563527	0.7883379	0.0413021	0.0474619	0.1624486	0.4792573	0.0095042
50	0.1330532	0.1280824	0.4686174	0.6914827	0.7189701	0.0665414	0.0158743	0.5012995	0.0582692	0.3691962
100	0.2475901	0.1517323	0.5311669	0.6544394	0.8491891	0.0660981	0.0049985	0.5251374	0.0267398	0.4141104
150	0.2493183	0.2443887	0.5048517	0.5830250	0.5962801	0.0425191	0.0002831	0.5550529	0.0052693	0.5064188
200	0.2257716	0.2194633	0.5015297	0.6615358	0.7313080	0.0364603	0.0004807	0.4914115	0.0067371	0.5508351
250	0.3792698	0.3271807	0.4833088	0.7761922	0.7330570	0.0398677	0.0047454	0.4604948	0.0162042	0.5024376
300	0.3878327	0.2657496	0.5522544	0.5891432	0.8406264	0.0261904	0.0006309	0.4773104	0.0253383	0.5497631
350	0.3201953	0.2826646	0.4743965	0.6954424	0.8562119	0.0166561	0.0093706	0.4883479	0.0109386	0.6137900
400	0.2537885	0.4070677	0.4731959	0.7243385	0.8451893	0.0248945	0.0058307	0.4560848	0.0069996	0.4731474
450	0.3159766	0.3508011	0.4403731	0.7004099	0.8487675	0.0183991	0.0008611	0.5390232	0.0075581	0.4707832
500	0.3510875	0.3205329	0.4130276	0.6777409	0.7283897	0.0348640	0.0025886	0.4349901	0.0178172	0.3881970
550	0.1900019	0.2640316	0.4081570	0.6648703	0.8010774	0.0250982	0.0280452	0.1654060	0.2361881	0.1416749
600	0.1872658	0.2566990	0.4736919	0.5897069	0.9252613	0.0451497	0.0643047	0.2058931	0.3910298	0.0355744
650	0.1852133	0.0973077	0.5290504	0.6735238	0.7232576	0.1092854	0.2159841	0.2073589	0.3737475	0.0264323
700	0.1694082	0.0485595	0.6346074	0.5241571	0.6842644	0.1843424	0.0814948	0.1973533	0.4226172	0.0514078
750	0.1207915	0.0334257	0.4326298	0.6565679	0.7007757	0.2440600	0.0736204	0.1634462	0.3979324	0.0344748
800	0.1153665	0.0883248	0.5320093	0.6372671	0.7979200	0.1000201	0.0971980	0.1810628	0.3812240	0.0115599
850	0.0669678	0.0837131	0.6040242	0.5221002	0.7408411	0.1136692	0.0562634	0.2207594	0.4505516	0.0055057
900	0.0872729	0.0258956	0.5538924	0.6677199	0.6177683	0.0759411	0.0200274	0.1735114	0.5402932	0.0068559
950	0.0792793	0.0252234	0.4166707	0.6232180	0.8800638	0.0972990	0.0401723	0.1981089	0.4816348	0.0134028
1000	0.0539425	0.0273139	0.4737488	0.6957290	0.7778557	0.0763227	0.0337415	0.2631379	0.3686887	0.0033350

