YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.3189495	0.5358885	0.9350596	0.3534517	0.4338228	0.5333811	0.9999996	0.0000491	0.0829533	0.6037979
0.3966993	0.8605698	0.6994679	0.2605809	0.5611657	0.0712543	0.1453471	0.3881297	0.0000021	0.0911689
0.1120823	0.4669604	0.9113750	0.4003857	0.3341695	0.9975123	0.9999845	0.0069464	0.2187191	0.4791129
0.2242304	0.6348895	0.6698894	0.0740782	0.6851670	0.3400573	0.6313770	0.0001997	0.1102251	0.5946875
0.1406842	0.3845176	0.9749058	0.2475252	0.5859034	0.4958441	0.9449005	0.0755557	0.2170605	0.4518985
0.4255630	0.4728234	0.8361233	0.0894152	0.9240734	0.0089741	0.1956959	0.3076873	0.0054196	0.3648614
0.0966305	0.4409655	0.4667967	0.2905023	0.5125835	0.6430255	0.9499203	0.0734031	0.0179682	0.4521951
0.0233937	0.2552740	0.9611493	0.2907557	0.5121478	0.6424201	0.7755265	0.0000008	0.0374467	0.5167199
0.1870598	0.2583729	0.9965932	0.1215146	0.6266732	0.4275356	0.8542239	0.1036001	0.3350383	0.6380968
0.2486909	0.0740956	0.9088613	0.4047101	0.3373718	0.6573510	0.9999999	0.0001252	0.1007775	0.6239008
