YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.3905894	0.0964682	0.3149454	0.9097120	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6101449	0.1288726	0.4876029	0.7244512	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.7806182	0.0968417	0.3157798	0.6062465	0.6548988	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.3722208	0.6364036	0.8460604	0.4608666	0.6548991	0.9996495	0.0398507	0.8452249	1.0000000	1.0000000
0.6022034	0.2675988	0.4967225	0.6951994	0.3274494	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.6022140	0.2675859	0.4966473	0.6956204	0.3419734	0.4993908	0.0649279	0.8452249	1.0000000	1.0000000
0.6101549	0.2576188	0.4875960	0.7244681	0.6550000	0.9999383	0.0199330	0.8452249	1.0000000	1.0000000
0.6101390	0.2576384	0.4875989	0.7244583	0.6548988	0.9996486	0.0398431	0.4228501	1.0000000	1.0000000
0.6101409	0.2576359	0.4875954	0.7244613	0.6548988	0.9996486	0.0398446	0.4703717	0.5000000	1.0000000
0.6306897	0.2328911	0.4650874	0.9884774	0.2727957	0.9996485	0.0398507	0.8452249	1.0000000	0.5000005
