YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0000000	0.3724006	0.6047492	0.6155037	1.0207868	0.1399002	0.1272311	0.1024307	0.1612841	0.3889130
0.1138835	0.0000000	0.6133280	0.5827629	0.8933921	0.1552830	0.1054296	0.0655125	0.0453692	0.2596250
0.0876890	0.0326226	0.0000000	0.5858052	0.9532026	0.1222562	0.1407421	0.0725053	0.1391688	0.3858108
0.0845645	0.0312286	0.1169097	0.0000000	0.9633331	0.1332937	0.1043809	0.0847619	0.0107022	0.0667265
0.7158751	0.9387398	1.0769406	1.0099531	0.0000000	0.3557965	0.3188203	0.5256806	0.5808676	0.8111478
0.1264757	0.4398701	0.6055240	0.5567703	0.9088431	0.0000000	0.0966513	0.0967626	0.0719519	0.2987263
0.1156918	0.3439799	0.6275180	0.4703701	1.0774252	0.0730995	0.0000000	0.0864963	0.0580663	0.2334129
0.1379539	0.4146691	0.6222918	0.5369936	0.9212320	0.1541034	0.1036638	0.0000000	0.0821978	0.2378428
0.1350949	0.5947973	0.7003409	0.6011026	1.0017011	0.1085604	0.1288490	0.0797257	0.0000000	0.2165223
0.1626985	0.4550652	0.5908071	0.4886321	0.9459938	0.1257090	0.0727724	0.0499515	0.0092340	0.0000000
