"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.8665974	0.5153643	0.7803103	0.1152214	0.7725359	0.7399665	0.8186217	0.3792053	0.2485472	0.3779130
50	0.8856933	0.4795087	0.7162618	0.0535521	0.8262650	0.9532954	0.8461852	0.4994111	0.3057689	0.4283328
100	0.7926377	0.4766779	0.8018249	0.0298900	0.9017380	0.9881509	0.7751451	0.5835834	0.4226734	0.4086405
150	0.8538975	0.5124394	0.8660604	0.0299369	0.8819094	1.0263716	0.8854265	0.5227780	0.5086903	0.4581870
200	0.7626943	0.5742992	0.8713904	0.0256610	0.9435039	0.9677740	0.8716917	0.5516991	0.4596749	0.4968906
250	0.8211145	0.5718606	0.8981807	0.0282387	0.9401796	0.9677127	0.8779318	0.5658126	0.4619914	0.4813784
300	0.7014234	0.5334831	0.8854842	0.0250345	0.8678664	0.9465919	0.8971840	0.6133796	0.4440641	0.4741225
350	0.7374374	0.5464648	0.9231762	0.0223723	0.8891357	1.0812039	0.8723030	0.6442200	0.5176112	0.4427504
400	0.8349487	0.5611254	0.8562848	0.0345946	0.9811831	1.0550509	0.9014099	0.6146479	0.5124033	0.3947213
450	0.8085709	0.5774411	0.7657057	0.0216771	0.9442093	1.0363352	0.9277543	0.5202862	0.4576993	0.4562666
500	0.7406281	0.5292274	0.8146903	0.0121231	0.8738774	1.0653156	0.9677492	0.5305728	0.4547792	0.4583059
550	0.8053368	0.4633859	0.9203783	0.0606225	0.9419512	0.8123673	0.8050205	0.4144901	0.3327429	0.4122083
600	0.8346126	0.4811895	0.8941446	0.0818759	0.8364021	0.7633992	0.8097761	0.3749787	0.2606440	0.3735063
650	0.8483366	0.5139482	0.9101543	0.0768507	0.8233010	0.7754457	0.7836381	0.4240965	0.2750200	0.3612534
700	0.8908418	0.5636615	0.8630836	0.0900677	0.9028954	0.7785408	0.7843438	0.4006461	0.2467594	0.3712245
750	0.8591907	0.5976515	0.8427740	0.0945108	0.8304248	0.7549731	0.7788796	0.3846690	0.2409108	0.3570283
800	0.7719141	0.5645944	0.7822494	0.0917301	0.8424070	0.7591022	0.8813624	0.3502740	0.2457164	0.3751386
850	0.7834630	0.4624655	0.7775470	0.0760459	0.8493442	0.7512454	0.8731200	0.4294436	0.2741802	0.3595539
900	0.8822002	0.4532436	0.7833965	0.1085665	0.8589518	0.8113563	0.7782883	0.4329212	0.2751311	0.3324609
950	0.9518155	0.5057713	0.8570960	0.1003290	0.7992937	0.8052934	0.8437324	0.3772441	0.2492651	0.3189440
