YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0599220	0.6420373	0.9999802	0.0555295	0.1059928	0.8736763	0.9025670	0.0449875	0.2597946	0.1365107
0.5936503	0.3210175	0.9999767	0.0577759	0.2055053	0.6653809	0.9483164	0.0421230	0.4208903	0.2844501
0.9068511	0.1870201	0.4992661	0.1580221	0.4949580	0.4510058	0.9840753	0.0418085	0.4979311	0.5255879
0.1198318	0.6420502	0.9999989	0.0277657	0.1059917	0.8736809	0.9025665	0.0449877	0.2597896	0.1365073
0.1198385	0.6420374	0.9999803	0.0554065	0.0529968	0.8736764	0.9025670	0.0449875	0.2597945	0.1365107
0.1207835	0.6401822	0.9972799	0.1836829	0.5243183	0.4365283	0.9026673	0.0449585	0.2604897	0.1369894
0.1198386	0.6420374	0.9999802	0.0554672	0.0911785	0.9371628	0.4503990	0.0449160	0.2613850	0.0888503
0.1198386	0.6420373	0.9999802	0.0555295	0.1059927	0.8736764	0.9025670	0.0224941	0.2597946	0.1365107
0.1198386	0.6420373	0.9999802	0.0555325	0.1066744	0.8710073	0.9889257	0.0754026	0.1298508	0.1384146
0.1198386	0.6420374	0.9999803	0.0554543	0.0868230	0.9600658	0.9028530	0.0449993	0.2595348	0.0682632
