YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.3668316	0.1011330	0.1466128	0.2614527	0.7183724	0.0312868	0.3484451	0.8140143	0.0444879	0.5629442
0.7610380	0.0453378	0.2194007	0.2111690	0.7434737	0.0225356	0.3309227	0.7518024	0.0881456	0.5798357
0.7442550	0.1322367	0.0688956	0.2620132	0.7278808	0.0106862	0.3046191	0.6359909	0.0716531	0.4738683
0.6539392	0.1702484	0.4693490	0.0706832	0.7787450	0.0234694	0.3351621	0.6875526	0.0967875	0.4356058
0.7927238	0.0748500	0.0854522	0.4105836	0.4626023	0.0381320	0.2506710	0.7937367	0.1629949	0.3901113
0.7216144	0.0430151	0.2317865	0.2309001	0.8570152	0.0250591	0.3416463	0.6001054	0.0484798	0.4306756
0.6127825	0.1116191	0.1713546	0.1822184	0.7920325	0.0484704	0.1835987	0.8201527	0.0540305	0.4389441
0.6177321	0.0626387	0.1754724	0.2051511	0.7654135	0.0115763	0.4714664	0.4098539	0.0682986	0.5723323
0.7697338	0.0591895	0.1806637	0.2362420	0.7294698	0.0144419	0.3966863	0.7172966	0.0459824	0.4962089
0.7587252	0.0489946	0.1210825	0.2075154	0.6886239	0.0530869	0.3217129	0.7000043	0.0635448	0.3344485
