"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W

0	0.2661371	0.8475255	0.1400542	0.3907654	0.8534241	0.1210860	0.1189219	0.0649245	0.0650262	1.0000000
50	0.2976494	0.7106101	0.1395310	0.3851457	0.8534241	0.1210860	0.1189086	0.0649245	0.0650262	1.0000000
100	0.3387170	0.6184350	0.1324853	0.3567772	0.8534241	0.1210860	0.1180785	0.0649245	0.0650262	1.0000000
150	0.3670586	0.5951797	0.1137704	0.3189286	0.8534241	0.1210860	0.1131674	0.0649245	0.0650262	1.0000000
200	0.3813837	0.6032342	0.0917170	0.2884610	0.8534241	0.1210860	0.1022571	0.0649245	0.0650262	1.0000000
250	0.3858518	0.6204951	0.0746511	0.2699329	0.8534241	0.1210860	0.0883655	0.0649245	0.0650262	1.0000000
300	0.3852288	0.6356513	0.0642711	0.2611398	0.8534241	0.1210860	0.0758177	0.0649245	0.0650262	1.0000000
350	0.3829361	0.6455897	0.0589437	0.2583836	0.8534241	0.1210860	0.0668081	0.0649245	0.0650262	1.0000000
400	0.3807141	0.6510925	0.0566788	0.2585951	0.8534241	0.1210860	0.0613597	0.0649245	0.0650262	1.0000000
450	0.3791258	0.6537387	0.0560280	0.2598247	0.8534241	0.1210860	0.0585474	0.0649245	0.0650262	1.0000000
500	0.3781691	0.6547892	0.0561005	0.2610916	0.8534241	0.1210860	0.0573646	0.0649245	0.0650262	1.0000000
550	0.3463091	0.8105406	0.0564862	0.2653320	0.8534241	0.1210860	0.0570499	0.0649245	0.0650262	1.0000000
600	0.3028737	0.9164928	0.0586729	0.2871548	0.8534241	0.1210860	0.0573240	0.0649245	0.0650262	1.0000000
650	0.2735306	0.9498135	0.0668763	0.3241453	0.8534241	0.1210860	0.0592622	0.0649245	0.0650262	1.0000000
700	0.2585740	0.9514638	0.0837305	0.3608977	0.8534241	0.1210860	0.0651941	0.0649245	0.0650262	1.0000000
750	0.2527933	0.9351574	0.1064248	0.3873303	0.8534241	0.1210860	0.0764108	0.0649245	0.0650262	1.0000000
800	0.2523244	0.9069696	0.1283364	0.4019973	0.8534241	0.1210860	0.0912128	0.0649245	0.0650262	1.0000000
850	0.2549712	0.8753140	0.1442207	0.4074155	0.8534241	0.1210860	0.1059112	0.0649245	0.0650262	1.0000000
900	0.2591506	0.8489233	0.1524963	0.4066451	0.8534241	0.1210860	0.1173713	0.0649245	0.0650262	1.0000000
950	0.2634497	0.8325967	0.1542594	0.4023917	0.8534241	0.1210860	0.1242941	0.0649245	0.0650262	1.0000000
1000	0.2668037	0.8265755	0.1517424	0.3969448	0.8534241	0.1210860	0.1269628	0.0649245	0.0650262	1.0000000

0	0.2661371	0.8475255	0.1400542	0.3907654	0.8534241	0.1210860	0.1189219	0.0649245	0.0650262	1.0000000
50	0.2676735	0.8475475	0.1399018	0.3905140	0.8500197	0.1591954	0.1045838	0.3469989	0.0650262	1.0000000
100	0.2908956	0.8477984	0.1392720	0.3857184	0.7821057	0.3489257	0.0645563	0.6590191	0.0650262	1.0000000
150	0.3334810	0.8498274	0.1335612	0.3630199	0.6224480	0.5637448	0.0384942	0.8303432	0.0650262	1.0000000
200	0.3684357	0.8600865	0.1176281	0.3297614	0.4677597	0.7181891	0.0266217	0.9084366	0.0650262	1.0000000
250	0.3878376	0.8821937	0.0977472	0.3061750	0.3655035	0.8105193	0.0213141	0.9410748	0.0650262	1.0000000
