YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.1365292	0.5334740	0.3770141	0.0730538	0.1501632	0.7365219	0.7606692	0.0069305	0.3432921	0.6779840
0.6885826	0.3852926	0.3328309	0.1738180	0.1150943	0.5984755	0.6594394	0.0814061	0.1855595	0.6370541
0.4341944	0.3162145	0.4760787	0.0774664	0.1195519	0.5867696	0.5802304	0.0653397	0.2531644	0.6499313
0.4270198	0.5515511	0.3775403	0.2953388	0.1584566	0.6541394	0.7921742	0.0544122	0.2955531	0.8960879
0.0036837	0.0615452	0.5987200	0.3071463	0.4541449	0.2295715	0.0508797	0.4498459	0.0898470	0.5191540
0.2606555	0.0757762	0.7487196	0.5538279	0.5966357	0.1746085	0.0224238	0.5525585	0.1017938	0.7089727
0.0024189	0.0020450	0.5590476	0.2915758	0.4705368	0.1417596	0.0256145	0.5996923	0.1248488	0.7387756
0.2006747	0.0023867	0.7145049	0.4018693	0.5241146	0.0947289	0.0414052	0.5873892	0.1423962	0.6880586
0.7084900	0.3245175	0.4854650	0.1119948	0.2274637	0.6768142	0.3618070	0.1520600	0.2235307	0.6336555
0.2923800	0.1958918	0.4627115	0.2344247	0.2228886	0.4410171	0.2361677	0.2468846	0.1200396	0.7246552
