YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0701633	0.8833554	0.9521820	0.0557443	0.2619036	0.3211210	0.5844955	0.0059263	0.8969877	0.8898133
0.3936576	0.8403268	0.8409633	0.0975005	0.0320843	0.1305350	0.5897340	0.0101103	0.8616712	0.9262463
0.0425663	0.9163152	0.9999661	0.0031899	0.2599020	0.4025362	0.5818575	0.0714739	0.8212199	0.8461040
0.0249358	0.9289843	0.7592701	0.0007002	0.1830996	0.3979894	0.3754039	0.0657663	0.9526573	1.0000000
0.4549250	0.3720517	0.4140341	0.3259541	0.1784060	0.3907226	0.5962766	0.0682380	0.8854511	1.0000000
0.0063863	0.8669517	0.9040529	0.0053471	0.2926333	0.5699847	0.5858743	0.0658704	0.9493629	1.0000000
0.0277855	0.9168011	0.9214531	0.0938537	0.3112368	0.5481881	0.3040828	0.0102452	0.8296956	0.6624061
0.7289749	0.0180768	0.1375866	0.5407105	0.1727197	0.3818510	0.8990565	0.0658873	0.9488302	0.9777348
0.0186262	0.8533889	0.8700540	0.0023861	0.2430893	0.4914010	0.5872254	0.0717794	0.8161043	0.6851836
0.0587680	0.8320504	0.8240370	0.1202468	0.1725145	0.3815228	0.5901036	0.0658015	0.9515349	1.0000000
