"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C

0	0.6457609	0.6149989	0.5581550	1.0239092	1.0017301	0.9636825	0.9373951	0.9939676	1.0226399	0.9738425
50	0.5017402	0.8283223	0.4904906	0.9129115	0.9975247	0.9498880	0.9780197	1.0311060	0.9756082	0.9872348
100	0.4151098	0.8632491	0.4942115	0.9316704	1.0404573	1.0411610	0.9720587	0.9791193	0.9707103	1.0302881
150	0.3251008	0.8680332	0.5173995	0.9665529	0.9730535	0.9914969	0.9287783	0.9298098	0.9949692	1.0944659
200	0.3104175	0.8770072	0.5684964	0.9317022	0.9850791	0.9672925	1.0085696	1.0666074	0.9518839	1.0603103
250	0.2891776	0.8442553	0.6198644	0.9724001	1.0688398	1.1090312	0.9010136	1.0247236	0.9625695	1.1006542
300	0.3327369	0.8994657	0.6089497	1.1125602	1.0729341	1.0048694	0.8890194	0.9612001	0.8835376	1.0296951
350	0.3755719	0.8706466	0.6080622	1.0635603	0.9393022	1.0455306	0.9553350	1.0688365	0.8727153	0.9508107
400	0.3512397	0.9210914	0.6509987	1.0358783	1.0449535	1.0856805	1.1001202	1.0491279	0.9249323	0.9845223
450	0.2654909	0.9282139	0.6869004	1.1180309	1.0725895	1.0054343	1.0706851	0.9525344	1.0041919	1.0279880
500	0.2615117	0.9184084	0.5979574	0.9935120	0.9916543	0.9996046	0.9917276	0.9262357	1.0266208	0.9668030
550	0.3008962	0.6658702	0.5883583	1.0814677	1.0703185	0.9363800	1.0506317	1.0915245	1.0775134	1.0022208
600	0.5165976	0.6070140	0.6219194	1.0668696	0.9780584	0.9573015	1.0082880	1.0281420	1.0777037	1.0115419
650	0.4754425	0.5937503	0.6212458	1.0556762	0.9933669	1.0414491	0.9924120	1.0644664	1.0969427	1.0180315
700	0.5692019	0.6206793	0.6640233	0.9089963	0.9076451	1.0592034	0.9297839	1.0141570	1.0609588	1.0014336
