"Time"	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C

0	0.0536848	0.2721606	0.8211072	0.5084671	0.9114256	0.5045634	0.9327669	0.9885525	0.0965807	0.9913452
50	0.0521861	0.3798172	0.8713724	0.5149915	0.9110722	0.3640932	0.4447133	1.0208993	0.0812711	0.9933357
100	0.0708887	0.3719455	0.7851577	0.5190294	0.9827203	0.2171643	0.3664106	1.0628436	0.0779387	0.9397087
150	0.0932167	0.3931978	0.8495783	0.4757129	0.9492753	0.1319801	0.2505342	0.9062175	0.1169093	1.0132155
200	0.1034819	0.3793422	0.9337669	0.4774635	1.0269680	0.0729722	0.2918355	0.8562968	0.0744389	0.9886723
250	0.0868827	0.4388472	0.8820654	0.5178481	0.8025811	0.0603474	0.2826171	0.9617121	0.0869609	0.9492032
300	0.1438435	0.4097171	0.8624605	0.4889083	0.4847466	0.0645855	0.2873444	0.9888212	0.0865787	0.9797542
350	0.1400576	0.4254042	0.8850280	0.3599269	0.3806042	0.0376484	0.2381353	1.1153937	0.1035551	0.9814925
400	0.1018921	0.4591312	0.9064177	0.2686411	0.2789437	0.0479763	0.2242823	0.9971902	0.1141046	0.9298381
450	0.1987401	0.5473788	0.9424094	0.1608831	0.2983105	0.0363227	0.2277009	1.0596961	0.0656724	0.9839903
500	0.2482329	0.6281976	0.9942502	0.1184107	0.2163554	0.0384337	0.2560980	0.9857018	0.0877901	1.1104467
550	0.3349908	0.5755065	0.9336596	0.0822711	0.1346223	0.0624070	0.7787518	0.9457652	0.0980147	0.9737067
600	0.3429949	0.5746072	0.9735281	0.0513573	0.4538172	0.1428532	0.8914166	0.9815725	0.0873448	0.9845620
650	0.3516669	0.6274109	1.0341232	0.1125027	0.8206871	0.3117504	0.9467362	1.0345563	0.1157685	0.9796987
700	0.2846145	0.6396455	1.0998176	0.2812366	0.9101736	0.4494373	0.9257825	1.0223656	0.1005246	0.9258046
750	0.2823823	0.5845727	0.9976840	0.4026693	0.9800679	0.5610173	0.9206828	0.9922548	0.1080518	0.9766307
800	0.2414497	0.4832576	0.9462758	0.4559335	1.0306709	0.5982015	0.9809913	0.9679423	0.1315857	1.0662981
850	0.1903173	0.4303067	1.0285369	0.5024625	1.0460565	0.5867948	0.9187296	0.9159703	0.0952308	0.9775613
900	0.1714096	0.3382975	0.8339168	0.5935674	0.9875175	0.6418158	0.8562730	1.0394990	0.0844491	1.0214050
950	0.1515057	0.2902878	0.7918777	0.6307091	1.0299883	0.5826164	0.8489185	0.9919358	0.0944955	1.0229790
1000	0.0895090	0.2488379	0.7289489	0.6201460	1.0293907	0.4934421	0.8192825	1.0885989	0.0904740	1.0444231

0	0.0536848	0.2721606	0.8211072	0.5084671	0.9114256	0.5045634	0.9327669	0.9885525	0.0965807	0.9913452
50	0.0356646	0.2828306	0.7872071	0.6042888	0.9860123	0.6710421	0.8866883	0.9065623	0.0503517	1.0053593
100	0.0225948	0.2702696	0.8356455	0.6681779	1.0296604	0.5993388	0.7663581	1.0065677	0.0380199	0.9876666
150	0.0470382	0.2747779	0.8263370	0.5776409	0.9070891	0.4761948	0.6255180	0.9013972	0.0372461	0.9501977
200	0.0341989	0.3103168	0.7917123	0.5804339	0.9558671	0.4661933	0.7040281	0.8621440	0.0398444	1.0457298
250	0.0246497	0.3147148	0.7738537	0.5103465	1.0429590	0.4289042	0.8619814	0.8751097	0.0443489	0.9758917
300	0.0357238	0.2624708	0.8391051	0.5464411	1.0010819	0.4176121	0.8421126	0.8912520	0.0470905	0.9681955
350	0.0411683	0.2959865	0.8955418	0.5247781	0.9638090	0.4360075	0.8672375	0.8472084	0.0388400	1.0945920
400	0.0548574	0.2894296	0.7452088	0.5065826	0.9294977	0.4574705	0.9525326	0.8199347	0.0358780	0.9870139
450	0.0452285	0.2734984	0.8712565	0.5385274	0.9350483	0.5653004	0.9625898	0.8665853	0.0327489	0.9603928
500	0.0226507	0.2953097	0.8574969	0.4967567	0.9143198	0.6035133	0.9359836	0.8763192	0.0496857	0.9986897
550	0.0688029	0.3215659	0.9659907	0.5212169	0.9941758	0.5999927	0.9074669	0.9496843	0.1241674	1.0802705
600	0.0960562	0.3019559	0.7979504	0.5069621	0.8970552	0.5776519	0.8251400	0.9077185	0.0890402	1.0167327
650	0.1104449	0.2768545	0.8956764	0.4899225	1.0055742	0.5015540	0.8979517	1.0003212	0.0971090	0.9571225
700	0.0706569	0.2213457	0.9338047	0.4687868	1.0589382	0.4471760	0.9775012	0.9321413	0.0787336	1.0680216
750	0.0788100	0.2433246	0.9566234	0.5366243	0.9884763	0.5047131	0.8987905	0.9539561	0.0967586	0.9864944
800	0.0846147	0.3103641	0.9952898	0.5461494	1.0284096	0.5148306	1.0114689	0.9064739	0.0814862	0.9981590
850	0.0891505	0.3381268	0.9073817	0.5678916	1.0306659	0.5750838	0.9650140	0.9985460	0.1006018	1.0141584
900	0.0666207	0.3095211	0.9386323	0.4996854	1.0445170	0.5575116	0.9531482	1.0088586	0.1109463	1.0058182
950	0.1196280	0.2895221	0.9046801	0.5137585	0.9292227	0.5932643	0.8381220	1.0155052	0.0846408	0.9135872
1000	0.0878761	0.2563960	0.8523395	0.5610645	1.0112903	0.4812087	0.7593556	0.9601558	0.0594826	1.0249802

0	0.0536848	0.2721606	0.8211072	0.5084671	0.9114256	0.5045634	0.9327669	0.9885525	0.0965807	0.9913452
50	0.0701280	0.3002791	0.8210339	0.5529414	1.0171186	0.5396284	0.3965604	0.8171484	0.0996920	1.0200271
100	0.0492896	0.2609480	0.7602925	0.5530784	1.0693229	0.2790665	0.2371168	0.7765411	0.0909376	0.9997349
150	0.0751225	0.3035625	0.7584298	0.5177995	0.9042246	0.1281481	0.1889261	0.7734138	0.0779687	1.0364579
200	0.0906800	0.3647663	0.8955776	0.4588429	0.9105378	0.0603283	0.1822440	0.7400648	0.1042055	0.9734038
250	0.0713903	0.3121774	0.9562864	0.4568161	0.5858387	0.0344588	0.1556745	0.8003130	0.0901778	1.0402799
300	0.1070038	0.3571577	0.9434435	0.3672933	0.3906122	0.0258305	0.1669328	0.7852952	0.0779111	1.0414713
350	0.0828476	0.3936405	0.9326055	0.2571304	0.3787701	0.0296995	0.1723671	0.8014041	0.1125755	0.9436429
400	0.0986785	0.4551317	0.9466188	0.1743467	0.2470093	0.0343646	0.1775842	0.7792418	0.0908257	1.0592745
450	0.1499825	0.5260633	0.8523260	0.1145401	0.1006665	0.0248786	0.1449935	0.7988421	0.1057479	1.0214517
500	0.1854931	0.5171531	1.0727477	0.0652647	0.0750026	0.0262492	0.1829994	0.7614372	0.1003720	0.9970142
550	0.2122092	0.5053954	1.1137671	0.0513818	0.1027658	0.0413592	0.7115502	0.9379370	0.1055499	0.9821887
600	0.1618476	0.5512702	1.0497020	0.0314816	0.2131818	0.1065587	0.8864605	0.9254811	0.0776090	0.9583144
650	0.2624244	0.5882293	1.0470569	0.0730042	0.7096576	0.2458118	0.9065391	1.0371838	0.1089349	0.9651460
700	0.2868008	0.5417181	0.9868350	0.1823649	0.8791886	0.3962819	0.9141472	1.0295237	0.0950287	1.0050366
750	0.2250092	0.4984318	0.9789778	0.3543918	1.0115912	0.5278005	1.0541059	1.0443937	0.0998478	1.0094808
800	0.1593506	0.4727102	0.9945021	0.4397584	0.9636357	0.6151301	0.8984085	0.8715187	0.0856788	1.0566857
850	0.1805999	0.3608004	0.9417461	0.5159163	1.0317167	0.5757595	0.9113046	0.9192290	0.1190846	1.0518111
900	0.1581514	0.3457369	0.9059078	0.5513602	0.9789006	0.5963313	0.8952316	0.9225763	0.1074730	0.9947326
950	0.1203241	0.3049989	0.8369344	0.4550069	0.9791567	0.5681961	0.8845231	0.9581564	0.1224370	1.0225104
1000	0.0900500	0.2732643	0.7266183	0.5177797	0.9902217	0.5552189	0.9161480	0.9630178	0.1123975	0.9964763

0	0.0536848	0.2721606	0.8211072	0.5084671	0.9114256	0.5045634	0.9327669	0.9885525	0.0965807	0.9913452
50	0.3136998	0.2537527	0.7939468	0.5191506	1.0261270	0.5884599	0.8385935	1.0060015	0.0409234	1.0860563
100	0.3678750	0.2848715	0.8060395	0.5237213	1.0092998	0.5471498	0.8619564	0.8976650	0.0330694	1.0996308
150	0.4510576	0.2542126	0.7923075	0.5304167	1.0177644	0.5653417	0.9550479	0.9838363	0.0273289	1.0723946
200	0.4127787	0.2969281	0.8530372	0.5790522	0.9270698	0.5645084	0.9104840	0.9944220	0.0415104	0.9991031
250	0.4734833	0.2585260	0.8246835	0.5483897	1.0311262	0.5626034	0.8923975	0.9780380	0.0388991	1.0161250
300	0.4988315	0.2833993	0.8857636	0.4901051	1.0592827	0.5250099	0.9276529	0.9739223	0.0256770	0.9534931
350	0.4420405	0.3203872	1.0457557	0.4971044	0.9524885	0.5535170	0.8756143	0.9358545	0.0345450	0.9336260
400	0.4431894	0.2889329	0.9071960	0.5185632	1.0094220	0.5513125	0.9163244	0.9439854	0.0327297	0.9609376
450	0.4882597	0.2867712	0.8706542	0.4727064	1.0074896	0.4849270	0.8331759	0.9727576	0.0174649	0.9934925
500	0.4254504	0.2870325	0.8905616	0.4866417	1.0332646	0.4328712	0.8594573	0.9147995	0.0215004	1.0616082
550	0.2104061	0.3635204	0.9098586	0.5809767	1.0345176	0.4919916	0.9091400	1.0082328	0.0756739	1.0120945
600	0.1386851	0.3279450	0.8721428	0.6131810	1.0163453	0.5044109	0.9313713	1.0031112	0.1115740	1.0397000
650	0.1074952	0.2734816	0.8349279	0.6146355	0.9938727	0.5174335	1.0018910	0.9807419	0.1133959	1.0054475
700	0.1085840	0.2497068	0.7550916	0.6554326	0.9251241	0.5742773	0.8232540	0.9889758	0.1111113	1.0325830
750	0.0706249	0.2474788	0.7641445	0.5812263	0.9377796	0.5492014	0.8920739	0.8989467	0.1207202	1.0205089
800	0.0610488	0.2675428	0.7810004	0.5244017	1.0314619	0.4972376	0.8024522	1.0068365	0.0964384	1.0620029
850	0.0507859	0.2099457	0.7643902	0.4759972	1.0132760	0.4422268	0.8807129	0.9978117	0.1093536	0.9908243
900	0.0680479	0.2336727	0.8662177	0.5213961	1.0845947	0.5208340	0.8710742	0.9749265	0.1061539	0.9903511
