YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0000000	0.1136965	0.2923592	0.3513009	0.3936021	0.6611638	0.7561696	0.3625799	0.7582375	0.6933970
0.4158395	0.0000000	0.3243900	0.4312284	0.4079744	0.7616567	0.7698270	0.3264826	0.8602826	0.6355988
0.6054937	0.0125422	0.0000000	0.1842648	0.3103401	0.7613309	0.7133800	0.3983183	0.7376281	0.8400621
0.4987362	0.1429656	0.8025848	0.0000000	0.4500800	0.7814086	0.6247490	0.3226303	0.6155888	0.7563725
0.5558146	0.1487340	0.5294365	0.2521328	0.0000000	0.7436597	0.6593189	0.3637319	0.7604951	0.7635541
0.5171278	0.1707078	0.1885046	0.5997011	0.6187283	0.0000000	0.7078385	0.3049542	0.8609939	0.7085318
0.4029642	0.6054046	0.2611474	0.3545034	0.3601260	0.5965250	0.0000000	0.4382871	0.6922588	0.7185675
0.6156344	0.1554321	0.3639183	0.4353014	0.4147353	0.5621332	0.8515001	0.0001296	0.8659387	0.6148609
0.5398967	0.1582215	0.3477726	0.3448866	0.3634363	0.7281732	0.7469843	0.7324276	0.0000000	0.7096856
0.6108338	0.1330956	0.3425321	0.3229219	0.3438737	0.6807022	0.7688648	0.3035919	0.7737261	0.0000000
