"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.0466457	0.2167076	0.1631268	0.7037472	0.7176328	0.0324718	0.6838681	0.1287770	0.6253524	0.7341340
50	0.1141599	0.2062060	0.1513282	0.7667220	0.6448121	0.1282055	0.6602266	0.0959231	0.8185857	0.7544766
100	0.1889557	0.1464155	0.1800611	0.7149968	0.6962050	0.0489729	0.6553564	0.0313948	0.7789193	0.8154894
150	0.1470667	0.2232772	0.1644978	0.6754134	0.6973383	0.0786385	0.6996256	0.0218321	0.7965157	0.7430875
200	0.1322100	0.2138514	0.1491239	0.6422927	0.6538567	0.1126800	0.6973726	0.0255829	0.7329725	0.6739455
250	0.0597231	0.2036008	0.1551572	0.6223325	0.7862748	0.0680016	0.7239164	0.0041373	0.7095959	0.6588321
300	0.0961596	0.1976384	0.1636872	0.7008681	0.7556564	0.0901285	0.6801540	0.0116973	0.8542370	0.8135890
350	0.0907673	0.2065663	0.1161124	0.5713137	0.5544419	0.0560284	0.7840947	0.0049351	0.7749847	0.7638912
400	0.0746413	0.2179760	0.0839549	0.7655557	0.6055245	0.0675317	0.6935141	0.0022272	0.7131789	0.6623293
450	0.0919922	0.1430995	0.1333386	0.6803345	0.6333911	0.0599956	0.7525983	0.0016883	0.8709035	0.5735849
500	0.0798640	0.1579570	0.0866847	0.7057783	0.6182691	0.1126044	0.5834775	0.0041422	0.7075792	0.6636860
550	0.0956851	0.1568471	0.1937262	0.7503322	0.7286269	0.1141973	0.5581685	0.0327441	0.7686745	0.6403317
600	0.0682181	0.2119692	0.1373305	0.6592972	0.5360802	0.0968506	0.6866830	0.1405712	0.6859266	0.7561771
650	0.1180352	0.1137573	0.1561448	0.6032496	0.5014999	0.0950306	0.7082118	0.1301863	0.8618988	0.7693742
700	0.1325326	0.2030977	0.1098923	0.6104780	0.6559114	0.1343448	0.6954075	0.1524824	0.8738630	0.6120345
750	0.1411193	0.2456196	0.1752840	0.6171888	0.6084871	0.0683473	0.6530642	0.1598155	0.7675197	0.6776675
800	0.1495539	0.2526776	0.1082162	0.8187192	0.6056377	0.0934672	0.6399002	0.1252776	0.7926413	0.7313269
850	0.1816862	0.2356873	0.1284995	0.6633037	0.5082598	0.0976473	0.6304249	0.1172109	0.8216072	0.8396613
900	0.1224823	0.2184086	0.1606180	0.8629478	0.6662900	0.0776501	0.7375217	0.0859660	0.8089795	0.7605432
950	0.0968530	0.2162042	0.1168087	0.6941287	0.6911186	0.1028251	0.7170694	0.1202254	0.6975734	0.7434282
1000	0.1013202	0.2406247	0.1725357	0.6461456	0.6645232	0.0455194	0.6131552	0.1684483	0.6945352	0.8487064

0	0.0556967	0.1762102	0.1736201	0.6513189	0.6481839	0.0811395	0.6981519	0.2029191	0.6644986	0.8805804
50	0.2822309	0.1408101	0.1210971	0.8666070	0.7141752	0.0508807	0.6878033	0.1598381	0.8284106	0.6741408
100	0.4228990	0.1465283	0.0741037	0.6972418	0.5808612	0.0433831	0.6474441	0.1510536	0.6657503	0.9648132
150	0.4242850	0.1025464	0.0977024	0.6932829	0.6681951	0.0953960	0.7534722	0.2244083	0.7920681	0.7227583
200	0.5289888	0.1664465	0.1239480	0.7120134	0.6717419	0.0804720	0.6706967	0.2332715	0.6317324	0.6876407
250	0.4821740	0.2021308	0.1487632	0.6385772	0.7778798	0.0609449	0.6896983	0.1626780	0.8209212	0.7058905
300	0.4775950	0.2190299	0.0920485	0.7046698	0.7180971	0.1004584	0.7923113	0.1166192	0.8154331	0.8665310
350	0.5430556	0.2197129	0.0971006	0.5320208	0.6594610	0.0292821	0.7854097	0.1405313	0.8210010	0.7753529
400	0.3987069	0.1353528	0.1102394	0.5898367	0.7441500	0.0216984	0.7089613	0.2100413	0.7946601	0.7110019
450	0.3849510	0.1794222	0.1567578	0.5337952	0.7419419	0.0712661	0.7025801	0.1209936	0.7079632	0.7332142
500	0.3833776	0.1801018	0.1008715	0.6807782	0.7809874	0.0361527	0.7982776	0.1903066	0.7205568	0.7481909
550	0.3490673	0.1558180	0.1648655	0.5993969	0.7480833	0.1005071	0.8506870	0.1665439	0.8160305	0.6386437
600	0.1731971	0.1580477	0.1136561	0.6194081	0.5964298	0.0661870	0.7747813	0.1261057	0.7829125	0.7379483
650	0.2805836	0.1853012	0.1858416	0.5985367	0.7687359	0.0931439	0.8078704	0.1178015	0.7674329	0.7216810
700	0.2647878	0.2865804	0.1223877	0.6272307	0.5860666	0.0693426	0.8572791	0.1555352	0.6921253	0.5926089
750	0.1727692	0.2353424	0.1291465	0.6280198	0.5909830	0.0783309	0.7122707	0.1292973	0.7765004	0.7720177
800	0.1204663	0.1878169	0.1211713	0.6227056	0.6307131	0.0546836	0.8738226	0.1213683	0.8468345	0.7017776
850	0.0565006	0.1937385	0.1515862	0.7359299	0.5977260	0.0866728	0.8178600	0.1997751	0.6056724	0.7463237
900	0.0893653	0.2557399	0.1463109	0.7888839	0.5921889	0.0649919	0.7066927	0.1730330	0.7320983	0.7823741
950	0.2021593	0.2280294	0.1242107	0.5041954	0.6045314	0.0456856	0.6689773	0.2671258	0.7019509	0.6872141
1000	0.1986342	0.1707365	0.1381388	0.5892983	0.7111993	0.0615385	0.7279929	0.2402601	0.5947171	0.5830360

