"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
350	0.4897190	0.3940573	0.4014409	0.6536169	0.0421150	0.0286390	0.0200712	0.6535427	0.8147652	0.9250710
400	0.4671390	0.3747089	0.5218573	0.5893696	0.0180647	0.0121266	0.0201804	0.7180101	0.8458341	0.7260275
450	0.5410966	0.3263473	0.3953406	0.4944440	0.0106893	0.0019112	0.0115611	0.8492546	0.7740064	0.6765083
500	0.5514912	0.4506674	0.4080639	0.6507153	0.0240035	0.0093208	0.0105122	0.7216500	0.7632851	0.8003525
550	0.4568994	0.5479961	0.3556614	0.5979813	0.0312589	0.0083401	0.0248282	0.8973537	0.7033981	0.5946587
600	0.3548679	0.4163146	0.3392966	0.6764687	0.0399837	0.0130385	0.0193151	0.7076370	0.7747753	0.7354855
650	0.2115933	0.3643912	0.4224948	0.7544203	0.0499219	0.0076698	0.0095100	0.7409887	0.7817580	0.6829135
700	0.1954888	0.4368418	0.4781257	0.7517930	0.0344034	0.0042487	0.0300848	0.6894705	0.6873919	0.6286121
750	0.1450721	0.4831603	0.4084956	0.6448773	0.0166682	0.0099774	0.0126016	0.7590231	0.8536741	0.7526785
800	0.2220557	0.4110423	0.4520992	0.8010861	0.0440999	0.0061118	0.0546751	0.6631637	0.6446756	0.8981013
850	0.2190312	0.5106233	0.4488080	0.8086166	0.0104654	0.0220435	0.0726713	0.7076081	0.7274104	0.7542543
900	0.1164258	0.4054136	0.3808162	0.6833291	0.0183946	0.0130670	0.0156480	0.8190145	0.6530485	0.8138916
950	0.1436331	0.6175251	0.3703472	0.7565001	0.0255052	0.0307756	0.0447832	0.8454862	0.6264874	0.7496724
1000	0.1003441	0.4021736	0.3724209	0.5619021	0.0427499	0.0077015	0.0228920	0.6986685	0.5978364	0.8416473

0	0.1444353	0.4174049	0.4087108	0.8187076	0.0422731	0.0120798	0.0320153	0.8107239	0.6665029	0.6859024
50	0.1785200	0.4702696	0.4375292	0.6313754	0.0237133	0.0271098	0.0126387	0.7404728	0.6997460	0.6972461
100	0.1370686	0.4338278	0.4317067	0.6021899	0.0195522	0.0133453	0.0111466	0.7602477	0.7276873	0.7406600
150	0.1918544	0.3759147	0.4373466	0.6201008	0.0180441	0.0129412	0.0044334	0.6615387	0.7513822	0.5927509
200	0.1665060	0.4018923	0.3794336	0.8452058	0.0608844	0.0088998	0.0026698	0.6689733	0.8269402	0.8309740
250	0.1099939	0.3120588	0.5544378	0.7830184	0.0471502	0.0109590	0.0085607	0.7866964	0.8064024	0.6787026
300	0.1683262	0.4550170	0.5079691	0.8774335	0.0335846	0.0097343	0.0051109	0.7704778	0.8335322	0.7551497
350	0.1391721	0.4058753	0.4146857	0.7046910	0.0185760	0.0019924	0.0029642	0.7308047	0.6957124	0.5922010
400	0.2404027	0.3538298	0.4285309	0.5703162	0.0238052	0.0053887	0.0195276	0.6058929	0.7948241	0.7101353
450	0.1920098	0.3139149	0.5273332	0.6355643	0.0465429	0.0101367	0.0043157	0.7382348	0.7032393	0.7831485
500	0.1718669	0.3824075	0.4111054	0.6575459	0.0348532	0.0165481	0.0000698	0.7545737	0.7377444	0.8789380
550	0.1725432	0.4609102	0.4323133	0.6190542	0.0409840	0.0017437	0.0275366	0.5943565	0.7103654	0.7973961
600	0.2059339	0.4261343	0.4167804	0.8065078	0.0285986	0.0099160	0.0192877	0.6390831	0.7020594	0.7288636
650	0.1976367	0.4213334	0.4867788	0.9955420	0.0228801	0.0077367	0.0122465	0.6858146	0.6869497	0.7722987
700	0.1850637	0.4022872	0.4996951	0.6030996	0.0174435	0.0065443	0.0410558	0.7569760	0.5460688	0.6987991
750	0.2139359	0.4311819	0.3635076	0.6681893	0.0465516	0.0032118	0.0167835	0.8627933	0.6922203	0.8862856
800	0.1520978	0.3616235	0.3193732	0.6404580	0.0381308	0.0214650	0.0314905	0.7017200	0.6874558	0.7647206
850	0.1589661	0.3783151	0.4322647	0.6273865	0.0131541	0.0056887	0.0319017	0.6456630	0.6579932	0.7367334
900	0.1286703	0.5016489	0.4178591	0.7025903	0.0245433	0.0010693	0.0492819	0.7418072	0.8147945	0.7489607
