YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.1600421	0.6134534	0.3542066	0.1238936	0.1159001	0.4316054	0.8219465	0.1645860	0.2185092	0.6378516
0.6725134	0.1788175	0.3527211	0.1058561	0.1678107	0.3556785	0.7428252	0.2038544	0.8608216	0.1625400
0.1697519	0.9076213	0.0777142	0.1903233	0.2194239	0.3043782	0.7553264	0.1085979	0.3991206	0.4245011
0.5976344	0.3560854	0.5770329	0.0558922	0.2110851	0.4283443	0.6630723	0.2777169	0.7604653	0.2435164
0.5867222	0.3018713	0.7446578	0.0333397	0.0878323	0.4494029	0.3939393	0.7528821	0.8938868	0.2043346
0.5402470	0.2138521	0.6316283	0.0139455	0.1493116	0.2717201	0.4345087	0.5449362	0.6391699	0.1968104
0.2656991	0.8136583	0.0175616	0.4005995	0.3012478	0.6106312	0.3552567	0.1175487	0.7821635	0.2691320
0.3422876	0.4738100	0.3330609	0.1889027	0.2038329	0.4207500	0.7845007	0.0476743	0.6669595	0.4081216
0.5770737	0.3823505	0.1931786	0.1070385	0.1911336	0.3967928	0.8905190	0.1619402	0.4224990	0.2460147
0.2779910	0.5777586	0.3733170	0.0742326	0.1656183	0.3587269	0.8778866	0.2540513	0.7595448	0.2075035
