"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.4927506	0.6169002	0.2947817	0.6323437	0.2276272	0.3704264	0.7048955	0.6588913	0.4315811	0.7269714
50	0.3363843	0.2232418	0.3478915	0.4950937	0.2500507	0.3532994	0.6006925	0.2660991	0.5357135	0.5927045
100	0.2718815	0.1125998	0.4030277	0.3593031	0.1972236	0.3576426	0.5910948	0.1740066	0.6128916	0.5629574
150	0.1217921	0.1220624	0.4260318	0.3173865	0.2902187	0.3749385	0.5694555	0.1696607	0.5780715	0.4870646
200	0.0630247	0.1260617	0.5059441	0.4261422	0.1627088	0.3124250	0.6535621	0.1907529	0.8754480	0.4571777
250	0.0727954	0.1164541	0.5416819	0.3507109	0.2620391	0.3780351	0.7458312	0.2761156	0.5890403	0.5398364
300	0.0737154	0.1073226	0.5792019	0.2925386	0.2174230	0.3896631	0.7239363	0.1772432	0.7383099	0.5695507
350	0.0431071	0.1145129	0.5676261	0.3046087	0.2261831	0.3018341	0.6184577	0.2699728	0.7484853	0.4704655
400	0.0356252	0.0730225	0.4927986	0.2871226	0.1656425	0.4072896	0.7848271	0.2684753	0.6695535	0.4705225
450	0.0125158	0.0936993	0.6234984	0.2881006	0.1681252	0.3727215	0.7815232	0.2048662	0.6465131	0.4592900
500	0.0373684	0.0971927	0.6610861	0.3804122	0.2131911	0.3843615	0.7727048	0.2129105	0.5889346	0.4657788
550	0.0698525	0.3051854	0.5451095	0.6177676	0.2549731	0.4889064	0.6400015	0.5155957	0.3627609	0.6141861
600	0.1328918	0.3788387	0.6021986	0.7200534	0.2616249	0.3873937	0.7215751	0.4728577	0.4085191	0.7773857
650	0.1934459	0.4095274	0.4941966	0.6749004	0.2373207	0.4964561	0.7609839	0.6240397	0.4381404	0.7781431
700	0.2064823	0.5551336	0.3504784	0.6021051	0.2006343	0.4266042	0.7783376	0.5908685	0.5046301	0.8613776
750	0.3250081	0.6753901	0.3620406	0.6854693	0.3191303	0.3958489	0.7909511	0.5446359	0.5218870	0.6348000
800	0.3811548	0.5654298	0.4029567	0.6381677	0.2818607	0.4210201	0.7046744	0.5033520	0.4156567	0.7477678
850	0.3701245	0.5285123	0.3037628	0.5997192	0.2141529	0.4465692	0.8166818	0.5920228	0.3854991	0.8147899
900	0.4454416	0.5803934	0.3873039	0.5827111	0.2664275	0.4592561	0.7854653	0.4883113	0.5057401	1.0000000
950	0.3574905	0.7447053	0.3824520	0.7595511	0.2690235	0.4109077	0.6838107	0.4632928	0.3986457	0.7315825
1000	0.4330279	0.5685396	0.4024563	0.5058255	0.2292273	0.4545740	0.8880075	0.5644549	0.4606168	0.6429644

0	0.4246323	0.6568986	0.3152505	0.6087403	0.1925530	0.3156801	0.7591723	0.5991877	0.3799950	0.8847666
50	0.5742774	0.5738824	0.4765732	0.6317598	0.1531154	0.3470618	0.6455002	0.5429849	0.4212913	0.6997757
100	0.4626833	0.5416628	0.2659887	0.6913602	0.1989086	0.3525712	0.7104172	0.5113231	0.3777476	0.8821819
