"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.1421269	0.2454984	0.6050347	0.2110247	0.4113761	0.5482655	0.8587096	0.0292452	0.1094054	0.3889196
50	0.0630381	0.2096577	0.6786412	0.1450237	0.2689913	0.5178096	0.6032399	0.0188148	0.1901001	0.3043174
100	0.0296779	0.2450572	0.8187655	0.2708035	0.1304439	0.6625055	0.8730761	0.0256950	0.0974886	0.3015867
150	0.0295128	0.1939214	0.6933708	0.3827678	0.0941249	0.5156609	0.7415755	0.0120134	0.1067257	0.3463795
200	0.0441159	0.1343696	0.6756855	0.3474427	0.0758192	0.6220798	0.7544071	0.0105843	0.1128513	0.5430399
250	0.0714731	0.1320873	0.6873575	0.4435339	0.0608437	0.8173729	0.7707828	0.0061455	0.1203765	0.4393284
300	0.0429530	0.2132611	0.6792586	0.3518045	0.0736747	0.6151532	0.8241713	0.0212083	0.1695297	0.3033456
350	0.0188863	0.2013666	0.5880212	0.4294766	0.0819074	0.5839210	0.7613322	0.0473735	0.1143962	0.4351496
400	0.0340495	0.1943981	0.5753638	0.5778410	0.0606152	0.6485411	0.8767490	0.0382970	0.1264618	0.4958465
450	0.0265779	0.1455590	0.5254697	0.4482396	0.0327442	0.6622505	0.8368476	0.0495266	0.2033269	0.4721194
500	0.0506731	0.2156665	0.5619176	0.5304773	0.0952503	0.6513940	0.6765406	0.0277487	0.1752650	0.3873791
550	0.0515938	0.2376244	0.4866811	0.4692202	0.1266419	0.5788900	0.7149449	0.0066562	0.1441165	0.4113518
600	0.0484348	0.2647032	0.4779882	0.5349245	0.2162543	0.4825236	0.7043396	0.0225113	0.1536122	0.4298954
650	0.0559298	0.2701103	0.4429324	0.4895252	0.3397455	0.4563546	0.7222352	0.0293353	0.1437489	0.3746383
700	0.0470735	0.2356395	0.5127481	0.3394466	0.3614894	0.3858408	0.7156875	0.0210018	0.1546373	0.4327177
750	0.0722035	0.1296553	0.7060251	0.2193394	0.3682278	0.4210142	0.8516809	0.0116338	0.1418253	0.4254183
800	0.0333038	0.2041397	0.7263316	0.2176331	0.4610191	0.4358152	0.8300339	0.0264028	0.1862993	0.4920186
850	0.0795320	0.1904652	0.7188416	0.2286299	0.3281676	0.5467484	0.7460680	0.0317899	0.1494898	0.4001678
900	0.0569557	0.1765565	0.7111197	0.2828812	0.3447442	0.5394984	0.7111675	0.0174866	0.0750018	0.4226856
950	0.0999635	0.1724595	0.6747094	0.2562707	0.4499159	0.4647193	0.7587936	0.0406506	0.1656807	0.4951947
1000	0.0594113	0.2540591	0.7173726	0.2117605	0.4879157	0.3916351	0.7406858	0.0452837	0.1757355	0.4300410

0	0.0553908	0.2841869	0.7618477	0.2125804	0.3264939	0.5005801	0.7683280	0.0272541	0.1073827	0.3871687
50	0.1146587	0.2055781	0.6911204	0.2380799	0.3984065	0.5002180	0.6536249	0.0894625	0.1765955	0.3843110
100	0.0553680	0.2338794	0.7658453	0.2963001	0.3408309	0.3651186	0.3118134	0.1950849	0.1614426	0.3536266
150	0.0742172	0.2796883	0.7054665	0.1449487	0.4122173	0.2638692	0.1772689	0.2392194	0.1113022	0.2645874
200	0.0580311	0.2116095	0.6978138	0.1905000	0.5079232	0.1908817	0.0937817	0.3178897	0.0790946	0.2094685
250	0.0525232	0.2190801	0.8885813	0.1819885	0.5225817	0.1120365	0.0332714	0.3450648	0.1047594	0.1135016
300	0.0605348	0.2527628	0.7491093	0.1097233	0.5109884	0.1313646	0.0253345	0.3905386	0.0840643	0.0888081
350	0.1051197	0.3059758	0.7510908	0.1375501	0.6206227	0.1054208	0.0086330	0.3093058	0.1338360	0.0472884
400	0.0300892	0.3044572	0.8150852	0.1656699	0.7956317	0.0777089	0.0050261	0.3559756	0.0861006	0.0318196
450	0.0870264	0.3153116	0.6702140	0.1039010	0.6390027	0.0731092	0.0075765	0.2867172	0.1281317	0.0334809
500	0.0546534	0.2546434	0.7592126	0.0985148	0.5994438	0.0950517	0.0031724	0.3354655	0.0906548	0.0083900
550	0.0775226	0.3651370	0.8810120	0.1457356	0.6171877	0.0665842	0.0296436	0.2301400	0.1403076	0.0392534
