YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0748851	0.4421618	0.6794209	0.4811946	0.3885123	0.2510873	0.5530894	0.1041801	0.2404090	0.4323424
0.0728482	0.4994020	0.6600804	0.3568789	0.3038795	0.0725244	0.2680755	0.7182835	0.3955836	0.0028634
0.1157663	0.6413802	0.5640205	0.4491991	0.4411691	0.2017206	0.4082685	0.6846761	0.6267593	0.1966371
0.1233485	0.5896549	0.7516729	0.6945688	0.2286212	0.5163249	0.3430762	0.7816549	0.7416008	0.9292945
0.1042726	0.7448605	0.4161235	0.3324455	0.4415193	0.0296326	0.2927887	0.5625260	0.5263099	0.0000586
0.1208760	0.6048917	0.6722273	0.3520145	0.2398789	0.4436758	0.2510628	0.7918599	0.6482133	0.8771936
0.1124024	0.6688078	0.5123584	0.2856891	0.3775467	0.4041405	0.6719383	0.4642786	0.4630864	0.8289452
0.1163250	0.6379609	0.5695238	0.2869021	0.4460685	0.0692433	0.3701201	0.5156860	0.4351139	0.0023541
0.1228515	0.5927194	0.4805252	0.2383148	0.3886293	0.2179621	0.4538823	0.3437555	0.3925463	0.2557800
0.1159115	0.6399285	0.5659067	0.3651562	0.2641554	0.5285158	0.2680371	0.8724702	0.7063753	0.9349406
