"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C

0	0.4782163	0.4620311	0.3364859	0.1444557	0.1657248	0.3182810	0.9073141	0.2354747	0.4986151	0.2781022
50	0.2404689	0.4892661	0.2252279	0.0963278	0.1005993	0.3668981	0.7623716	0.1857297	0.5826815	0.3224447
100	0.1736622	0.5319796	0.2918773	0.0378145	0.1071815	0.3818244	0.6832260	0.2627970	0.5562274	0.4077008
150	0.1515562	0.6338277	0.3001413	0.0698897	0.1744612	0.4034166	0.6793971	0.3041026	0.3372741	0.4244601
200	0.1059099	0.6461082	0.2406151	0.0905705	0.2240109	0.3549876	0.6733592	0.1953056	0.2241951	0.6999537
250	0.1912550	0.6183666	0.2238720	0.1190728	0.1932174	0.4118984	0.5805641	0.2317317	0.1847361	0.5689247
300	0.1646538	0.5537655	0.1177554	0.2468737	0.2336288	0.3767735	0.7909506	0.2048342	0.2490486	0.6800825
350	0.1385802	0.7815727	0.0703915	0.2321710	0.1690837	0.3529345	0.6334129	0.1947452	0.2144524	0.5292023
400	0.0928508	0.8163416	0.0314537	0.2517039	0.2403990	0.3606897	0.7891324	0.1041326	0.2405271	0.4718486
450	0.0581190	0.6793706	0.0545612	0.2421285	0.1128288	0.3829072	0.6531042	0.1557176	0.2278884	0.4065949
500	0.0403372	0.8640394	0.0495377	0.1376172	0.1454299	0.3671126	0.7893028	0.2165495	0.2121636	0.4607140
550	0.0849363	0.7243309	0.2083172	0.0585300	0.1834755	0.3059340	0.6372212	0.1852864	0.4666911	0.4406372
600	0.0825252	0.6829690	0.5308328	0.0494017	0.1341459	0.2985343	0.5724506	0.2955802	0.3170085	0.5615545
650	0.1840550	0.4449809	0.5184846	0.1105636	0.2075659	0.3946305	0.8574121	0.2587093	0.2809145	0.6375219
700	0.2340498	0.3971404	0.7085982	0.0934026	0.2014422	0.3616404	0.6987135	0.2642430	0.1839822	0.5372574
750	0.2319581	0.3739521	0.5655530	0.0520841	0.1403074	0.3992034	0.7370062	0.2329684	0.1944402	0.4592271
800	0.3836670	0.2690279	0.7676822	0.0651849	0.1436995	0.4067315	0.7240052	0.2655454	0.2420603	0.3649765
850	0.5830139	0.1974813	0.5535182	0.0665959	0.1663067	0.2545317	0.7338733	0.3485458	0.3326883	0.3528450
900	0.6126402	0.2490098	0.4518788	0.3018032	0.1561007	0.4058288	0.6806880	0.1701424	0.3534519	0.2696756
950	0.4796506	0.2843690	0.3327907	0.1699107	0.1401264	0.3794416	0.6943104	0.1363457	0.5064791	0.2355398
1000	0.5802146	0.3866635	0.2062629	0.2012131	0.1846636	0.3263180	0.7963155	0.1461302	0.5801115	0.2908312

0	0.5794331	0.4401657	0.3289752	0.1052191	0.2225281	0.3193264	0.7771002	0.2339454	0.4850883	0.3502362
