YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.6287686	0.4872808	0.6751932	0.5974706	0.9072147	0.2861285	0.0834378	0.0800856	1.0000000	0.9823067
0.4408236	0.6885451	0.6892031	0.5796100	0.6784762	0.2316187	0.0622327	0.1213815	1.0000000	0.7126774
0.6264801	0.6498900	0.7695208	0.4785446	0.6999041	0.2532906	0.0003574	0.1324675	0.9391128	0.9713751
0.2094505	0.7060188	0.6199394	0.6722091	0.9265960	0.5072907	0.0004125	0.1372933	0.9152610	0.7634287
0.9129437	0.4722562	0.8113896	0.4259838	0.7293110	0.2634885	0.0002516	0.1213815	1.0000000	0.9755356
0.5655751	0.5078672	0.5188146	0.5641780	0.8087720	0.4838100	0.1234304	0.0870122	1.0000000	0.9058769
0.1285846	0.4569342	0.3469048	0.7752834	0.9309365	0.5359682	0.0083445	0.1887528	0.5876208	0.9986233
0.2398826	0.3826780	0.5861365	0.7214233	0.9723764	0.6017880	0.2175324	0.1213815	1.0000000	0.9991444
0.4453187	0.6235223	0.5930441	0.5984367	0.9131428	0.3922220	0.3822427	0.1255138	0.9762202	0.9951025
0.6312383	0.4487600	0.6761127	0.5967772	0.8343314	0.2275931	0.0000935	0.0948645	1.0000000	0.8525365
