YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.2238020	0.3286867	0.4909752	0.4037415	0.5292643	0.1204369	0.0641303	0.7982002	0.8181401	0.7288477
0.6065286	0.1730309	0.6930570	0.5022624	0.4302535	0.1012207	0.0917361	0.7496437	0.6748485	0.7446982
0.7426509	0.1333432	0.2885647	0.3657457	0.5802752	0.1250929	0.1021843	0.7050115	0.7057752	0.7466786
0.4961265	0.3546815	0.4869213	0.3159441	0.3353858	0.1426545	0.0522181	0.6955121	0.3474859	0.6544452
0.2982264	0.3914956	0.5485865	0.5334129	0.2906743	0.1094453	0.0743374	0.7941708	0.6985792	0.6522105
0.4359421	0.3831772	0.4562415	0.5030263	0.4671207	0.0622890	0.0495825	0.7039067	0.6280138	0.7472215
0.4040797	0.3488798	0.4656703	0.4615083	0.6839134	0.0601399	0.0314076	0.7522742	0.7154123	0.6127079
0.4385245	0.3612652	0.4207891	0.3212769	0.4329702	0.2117863	0.1069708	0.3776591	0.5411093	0.7357722
0.6515440	0.2499010	0.5837315	0.3368174	0.4705546	0.0676593	0.0791165	0.7520914	0.2907500	0.6827215
0.3543747	0.3827875	0.6049836	0.4176530	0.5300250	0.1650602	0.1057669	0.7524823	0.7441712	0.4021012
