YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0000000	0.0682831	0.3758884	0.2289632	0.5831007	0.6570766	0.5883153	1.0467225	0.3734400	1.0247017
0.1071256	0.0000000	0.3363048	0.2274726	0.5823757	0.6523245	0.5721137	1.1243375	0.3404264	1.0987186
0.0678363	0.0168663	0.0000000	0.2373893	0.6344895	0.6363540	0.5158867	1.0341308	0.3166801	1.0184056
0.9934894	0.8721635	1.1018885	0.0000000	0.1202366	0.5613856	0.6349748	1.0214393	0.2539052	1.0126283
0.0752789	0.0132239	0.0714859	0.9814511	0.0000000	0.7347651	0.6228359	1.0647384	0.1568273	1.0182646
0.1611278	0.1545668	0.2483332	0.3955585	0.3717583	0.0000000	0.6424521	1.0064207	0.2823525	0.9705535
0.0914140	0.0205176	0.3364434	0.1491086	1.0438217	0.0067579	0.0000000	1.0231839	0.5070179	0.9722755
0.2259904	0.2608956	0.4846116	0.2342236	0.4386578	0.0148842	0.0066755	0.0000000	0.3423079	1.0066371
0.0975171	0.0280283	0.2646565	0.2397895	0.6479277	0.6667108	0.6206443	1.0025002	0.0000000	1.0382232
0.0775100	0.0974003	0.4687737	0.2265385	0.5741922	0.6697703	0.6521365	0.9824295	0.6505298	0.0000000
