"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.1636031	0.6242495	1.0005088	1.0211327	0.2613072	0.4846107	0.0374438	0.9211914	0.1072518	0.9927904
50	0.1473122	0.9378033	0.9574082	0.4244344	0.4658995	0.5594748	0.0376175	0.8886732	0.1015534	0.9760722
100	0.1302547	0.9192875	1.0079364	0.3309012	0.5567680	0.5270040	0.0322391	0.9206748	0.0927867	0.9778069
150	0.1310929	0.9349339	0.9747080	0.2709588	0.5610287	0.6189894	0.0422426	0.8104656	0.1013371	0.9624630
200	0.1109758	0.8899115	1.0761269	0.2316518	0.6234658	0.5246781	0.0358123	0.8296095	0.1003839	1.0382658
250	0.1205817	0.9373936	0.8980849	0.2609813	0.6403201	0.4640266	0.0376492	0.7733077	0.1007242	0.9923452
300	0.1155315	0.9810890	0.9966658	0.2482923	0.5415015	0.4321713	0.0406200	0.7782947	0.0904782	1.0191594
350	0.1148120	0.9540433	0.9631238	0.2898259	0.5267048	0.3280391	0.0470480	0.7237598	0.0953076	0.9290339
400	0.1078973	0.9021154	0.9143253	0.2730652	0.5472309	0.3542642	0.0461799	0.7786921	0.0719099	0.9994829
450	0.1102693	0.8710042	0.9664104	0.3291833	0.5852092	0.3765928	0.0182321	0.7469807	0.0676884	0.9669083
500	0.1617578	0.9303181	0.9848650	0.2954312	0.6231644	0.4306015	0.0418366	0.7410747	0.0684796	1.0968438
550	0.1158958	0.5560986	0.8905861	0.9074814	0.3271450	0.5367988	0.0478727	0.9102624	0.0574584	1.0694060
600	0.1396982	0.5574578	1.0124692	1.0357800	0.2565661	0.4432511	0.0425320	1.0009038	0.0661254	0.9981122
650	0.1489211	0.5943862	1.0293552	0.9735934	0.2315811	0.4196472	0.0392316	1.0064461	0.0816712	1.0570149
700	0.1386903	0.6546276	1.0335594	0.9705458	0.2420046	0.4573218	0.0330671	0.8672626	0.0612063	1.0806662
750	0.1194078	0.6613422	1.0269794	1.0147655	0.2093513	0.4587325	0.0222691	0.9171983	0.0731491	0.9749543
800	0.1363874	0.6491052	0.9138965	1.0673473	0.1959164	0.4688329	0.0436993	1.0111717	0.0694843	0.9997794
850	0.1449996	0.7008479	0.9980496	1.0831102	0.2575011	0.5511888	0.0195188	0.9039941	0.0676190	1.0221586
900	0.1707303	0.7067222	1.0218508	1.0629828	0.2889047	0.5926263	0.0351443	0.9108958	0.0937442	0.9699980
950	0.1528058	0.7098895	0.9924234	1.0156264	0.2912860	0.5136777	0.0414775	0.9319218	0.1124666	1.0354525
1000	0.1353165	0.5904194	0.9536129	1.0153828	0.2392781	0.4279968	0.0633057	0.9943112	0.0832674	0.9731448

0	0.1636031	0.6242495	1.0005088	1.0211327	0.2613072	0.4846107	0.0374438	0.9211914	0.1072518	0.9927904
50	0.1429646	0.4900792	1.0405743	0.6276274	0.2261364	0.2793736	0.0701603	0.5502059	0.0472936	0.2621581
100	0.2799141	0.4551886	0.9794837	0.6278124	0.1242328	0.1867127	0.1252864	0.3699793	0.0728119	0.1263096
150	0.5191315	0.3610143	0.9309551	0.5909680	0.0587925	0.0824347	0.1582769	0.3802909	0.1039568	0.1133541
200	0.5203522	0.3011464	0.8540384	0.5539380	0.0523010	0.0575970	0.1257364	0.3438503	0.1699623	0.1459722
250	0.6368313	0.3006531	0.9218091	0.5743998	0.0370939	0.0549446	0.1671025	0.3381787	0.2122242	0.1640126
300	0.5279344	0.2883848	0.9001495	0.4708585	0.0268198	0.0450493	0.2088318	0.2818463	0.2142744	0.1609398
350	0.4886762	0.2139241	0.7646791	0.4872531	0.0300411	0.0314717	0.2434492	0.2695107	0.2645473	0.1648803
400	0.5477386	0.2438066	0.6010935	0.4336029	0.0193581	0.0255192	0.2693990	0.3129685	0.2271477	0.1193344
450	0.6091182	0.3143365	0.6268521	0.4323134	0.0168632	0.0227348	0.2306622	0.3147806	0.2260204	0.1511411
500	0.5337063	0.3074089	0.6561997	0.4462365	0.0207497	0.0158589	0.2463945	0.2734914	0.2367952	0.1353604
550	0.7277677	0.3426691	0.6718293	0.7936539	0.0232991	0.1303390	0.1589172	0.6563861	0.2411770	0.9020714
600	0.4876457	0.4960655	0.7882435	0.8550408	0.0271346	0.1605754	0.0753975	0.7143567	0.1318890	1.0337418
