YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000000	0.2244466	0.5490321	0.7120260	0.2193407	0.2170485	0.3779331	0.0430573	0.6674215	0.1695452
0.1052188	0.0000000	0.3784909	0.7820723	0.1416042	0.5922071	0.7335471	0.1594911	0.5409810	0.2373668
0.6911474	0.8175736	0.0000000	0.7454737	0.0795236	0.4736592	0.7525137	0.3868304	0.6958136	0.0597664
0.7396485	0.2645936	0.4061797	0.0000000	0.0636289	0.5716152	0.7453555	0.5575448	0.2607311	0.5020716
0.8298742	0.3419133	0.4216741	0.7672664	0.0000000	0.4705728	0.6543996	0.3583604	0.6513950	0.1690380
0.7877613	0.1873535	0.7424888	0.3383869	0.7586142	0.0000000	0.7417220	0.4042223	0.5899839	0.1880500
0.7589062	0.2068964	0.9340348	0.5044409	0.5558224	0.0070238	0.0000000	0.2805691	0.8636983	0.1597918
0.7831610	0.1043096	0.6632638	0.4916537	0.6155867	0.0389516	0.0148100	0.0000000	0.6449417	0.2220417
0.9595110	0.3057571	0.3594870	0.8558568	0.0847930	0.5415656	0.7647866	0.6740273	0.0000000	0.1633462
0.7328910	0.2749831	0.3467194	0.7460297	0.0751962	0.3953778	0.5588247	0.8260920	0.8517561	0.0000000
