YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0000000	0.7258409	0.5419969	1.0995550	1.0744412	0.6573878	0.5027589	0.9710661	0.5988319	0.3960507
0.9801565	0.0000000	0.5843720	0.9792508	1.0824252	0.8841838	0.6650617	0.8799550	0.5151743	0.4677185
0.9884108	0.0288821	0.0000000	1.0991345	1.0575681	0.9942600	0.6663673	0.9132295	0.5208068	0.4576555
1.1110087	0.0410910	0.0085697	0.0000000	1.0843175	0.9747235	0.6979445	0.9636115	1.0319383	0.5358302
1.0390062	0.0545325	0.0020623	0.0527903	0.0000000	0.9693082	0.7010016	0.9850317	1.0423106	0.4299891
0.0279341	0.8091882	0.4612861	1.0118497	0.9291638	0.0000000	0.1676525	0.8102675	0.5409876	0.5090149
0.0348617	0.7531031	0.5287622	0.9731187	1.1088597	0.9684889	0.0000000	0.8251986	0.5771877	0.4894872
0.0203864	0.6851875	0.5365874	0.9452448	1.0895863	0.4711542	1.0518181	0.0000000	0.3821806	1.1092345
0.0223008	0.7335388	0.5476940	1.0020095	0.9383805	0.5033566	0.9936675	0.0489286	0.0000000	0.9328790
0.0339774	0.6849965	0.4683820	0.9498496	1.0424887	0.6886070	0.4353090	0.9489695	1.0044145	0.0000000
