YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0096879	0.1819788	0.6448476	0.1662043	0.3847683	0.4106180	1.0000000	0.0228022	0.0951037	0.3952190
0.0254653	0.1052906	0.7762924	0.1799158	0.3872553	0.4498045	0.7937875	0.0162986	0.2330845	0.4425345
0.0475009	0.2768441	0.3263083	0.2072108	0.3954793	0.3530578	0.7353758	0.0085977	0.1196908	0.3173322
0.0505967	0.2411078	0.7067657	0.0843852	0.3896364	0.3465225	0.8187781	0.0143759	0.1148562	0.4850255
0.0286319	0.2237900	0.4930907	0.5096834	0.1514251	0.5333386	0.9123485	0.0062367	0.1481065	0.2756244
0.0501248	0.1873085	0.7596572	0.1453333	0.4563853	0.2634315	0.7432946	0.0269928	0.1267672	0.5180142
0.0623776	0.2394708	0.6649574	0.1564800	0.5733056	0.2260175	0.4369033	0.0128664	0.1011782	0.2460566
0.0601880	0.2552802	0.6064543	0.2002806	0.5138808	0.5208617	0.7458821	0.0082998	0.1091404	0.4248573
0.0504994	0.3379916	0.6102087	0.1787107	0.4289920	0.5007969	0.7484182	0.0088398	0.0660035	0.4933830
0.0663285	0.3030810	0.6399258	0.2371633	0.3451472	0.5121009	0.6807666	0.0341788	0.0896701	0.1735184
