YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.0000000	0.0352661	0.2305200	0.3787241	0.9536717	0.3400906	1.0835346	1.1000592	0.9903379	0.0493648
0.5356685	0.0000000	0.2335857	0.4167561	0.9560617	0.3211932	0.8596577	0.9753665	0.9916387	0.0317291
0.5376995	0.0406633	0.0000000	0.3227564	0.8782635	0.3240450	0.9532311	0.9757470	0.9809898	0.0394691
0.5294910	0.8944124	1.0224142	0.0000000	0.9476820	0.3343167	0.9610538	1.0132644	1.0183228	0.0572464
0.5278916	0.0599901	0.2189085	1.0435651	0.0000000	1.0130310	0.9004855	0.9651385	0.9688579	1.0092276
0.5055660	0.0360956	0.2097083	0.4280374	0.9938096	0.0000000	0.8647485	0.9652702	1.0385013	0.0473694
0.9930088	0.0325457	0.2356588	0.4450307	1.0539979	0.0463786	0.0000000	0.9684093	1.0751486	0.0628662
1.0292119	0.0294860	0.2769605	0.3936904	1.0026626	0.0537707	0.0036272	0.0000000	1.0548192	0.0454134
1.0325489	0.0339356	0.2552677	0.3894671	1.0141125	0.0332587	0.0035314	0.0743975	0.0000000	0.0350840
0.4982875	0.0297569	0.2670988	0.3653728	0.9124893	0.2980960	0.9640722	0.9830326	0.9439514	0.0000000
