YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.7215201	0.4602179	0.9918397	0.8620006	0.5732629	0.4824343	0.3877769	0.6368139	0.5714138	0.9047736
0.7055864	0.4846694	0.9698580	0.6115219	0.3842579	0.6486970	0.3570169	0.6143471	0.5972640	1.0000000
0.8624831	0.2563093	0.9855649	0.8561792	0.7211675	0.1456300	0.9808258	0.2599181	0.7884090	0.7535846
0.6952015	0.5011088	0.9555151	0.8574114	0.6622125	0.2556238	0.5138441	0.5809564	0.6639892	1.0000000
0.7687345	0.3898984	0.9578959	0.7070869	0.3783629	0.7447241	0.2943316	0.5625741	0.5972640	1.0000000
0.5333900	0.4384381	0.9839591	0.8865184	0.6666758	0.1819996	0.8162227	0.4720587	0.6084553	0.9260513
0.5590402	0.5062292	0.9512326	0.8642669	0.8832620	0.1374580	0.9983066	0.1830018	0.7937163	0.9755148
0.7087692	0.3714573	0.9837702	0.8604398	0.7136207	0.5003298	0.4468194	0.6095453	0.5393423	0.8014655
0.5360736	0.3155117	0.9717448	0.7449822	0.4916023	0.2700331	0.5644318	0.5948037	0.6521533	1.0000000
0.7185091	0.4648251	0.9876283	0.9216269	0.8359793	0.1949244	0.7422352	0.4737877	0.5337330	0.7848419
