YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0041012	0.0404369	0.0235719	0.5856553	0.4352160	0.7214814	0.6371915	0.9449026	0.0314028	0.0807206
0.0341667	0.0286784	0.0106809	0.3972256	0.5184142	0.6907780	0.7407611	0.7460031	0.0462021	0.0534589
0.0340893	0.0578917	0.0142212	0.6934451	0.4367826	0.6976047	0.7614874	0.6258057	0.0489174	0.1415006
0.0814940	0.1960372	0.1564784	0.2197083	0.5296437	0.7050510	0.6594287	0.8528742	0.0774642	0.0737245
0.0385832	0.0658351	0.0340624	0.5709806	0.1988733	0.6473006	0.5644391	0.8726963	0.0505688	0.0821900
0.0417248	0.0584144	0.0160596	0.7710347	0.0383866	0.2754623	0.6803228	0.7250067	0.0514640	0.0653033
0.0227600	0.0535034	0.0212634	0.6337529	0.0549699	0.4570791	0.3213671	0.7482052	0.0506224	0.0762388
0.0299538	0.0722298	0.0221357	0.4463310	0.3275664	0.6998696	0.6852346	0.3364574	0.0545429	0.0623816
0.0286118	0.0644295	0.0570478	0.3998506	0.3128994	0.6905295	0.6584573	0.6733818	0.0281852	0.0758285
0.0217271	0.0405940	0.0437727	0.5387125	0.3121879	0.6545375	0.8188393	0.7815084	0.0295029	0.0438547
