YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.4312117	0.3299608	0.9826086	0.8333203	1.0021376	0.4448962	0.3905365	0.7565993	0.1239128	1.0999382
0.3814372	0.3127299	1.0107724	0.2152765	0.3075257	0.8896353	0.1966451	0.8718007	0.1666535	0.6937651
0.2827877	0.3271972	1.0542581	0.7873041	0.9351123	0.4778011	0.2890076	0.7444134	0.1160032	0.9920496
0.2214303	0.4276010	0.9299835	0.7245851	0.5255271	0.6326348	0.3508530	0.5947248	0.2599550	0.8537912
0.4719593	0.5915425	0.5470400	0.3857923	0.4795279	0.8317938	0.2620073	0.9322246	0.0651801	1.0851899
0.0141589	0.1943579	0.9493822	0.2299428	0.7041611	0.7333620	0.4392796	0.7145686	0.1296233	0.9226990
0.0536369	0.3614878	1.0144821	0.8868553	0.5525636	0.8787505	0.1669218	0.9931580	0.0932216	1.0715058
0.4296963	0.3256746	0.9673041	0.4312433	0.6194020	0.7489249	0.3581252	0.8433340	0.1760443	0.6688029
0.1751370	0.2030737	0.9580460	0.5567883	0.5527006	0.8805677	0.2416474	0.8376478	0.0962454	0.9947641
0.0440761	0.3266612	0.8040102	0.2182712	0.4113152	0.7494728	0.3311168	1.0253695	0.1272731	0.4716217
