YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.6676609	0.3731641	0.9879075	0.5104952	0.1157806	0.2836395	0.6260392	0.9466771	0.0941390	0.0845759
0.6616402	0.5102188	0.7924807	0.5318957	0.1736974	0.2831104	0.8487646	0.9475728	0.0726856	0.0822934
0.7569386	0.4025323	0.9726455	0.6959229	0.3936418	0.3654277	0.5089896	0.8967779	0.3091188	0.0121070
0.5893017	0.4512267	0.9773520	0.6299611	0.2459857	0.3829632	0.8285808	1.0662318	0.2380010	0.0059211
0.7381521	0.3943700	1.0365687	0.3847007	0.0885548	0.3276554	0.6395500	0.8412987	0.4319500	0.0826390
0.5039030	0.4258764	0.8796206	0.4964198	0.1239901	0.3795953	0.7896593	1.0571850	0.0012367	0.0590479
0.6258699	0.3751889	1.0370388	0.3674561	0.1344941	0.4754774	0.5184220	0.7596212	0.1636338	0.0748359
0.7271435	0.4178093	0.9644753	0.1177177	0.5943163	0.3666333	0.5625065	0.8966808	0.0004928	0.1002431
0.8343629	0.2484726	0.9000431	0.5627552	0.3616277	0.3589293	0.7086136	1.0515536	0.0006822	0.1059239
0.7567226	0.4326503	0.6219330	0.4464782	0.0456606	0.3846671	0.8500440	0.8340264	0.1805354	0.0903036
