"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.7168941	0.4887614	1.0086421	0.5550600	0.0845324	0.3217435	0.7636694	1.0547182	0.0128366	0.0991061
50	0.6777337	0.4186955	0.9745528	0.4960243	0.1003706	0.2930897	0.8271483	0.7964783	0.0108765	0.0995822
100	0.7387596	0.4117807	1.0085913	0.5735675	0.0993560	0.2552463	0.8170593	0.6024484	0.0119083	0.0693281
150	0.6930268	0.3822712	1.0609301	0.6024514	0.1191599	0.3016169	0.8213432	0.5155267	0.0200843	0.0711315
200	0.7250130	0.4248155	1.0747352	0.5396059	0.1839122	0.3301015	0.7938918	0.5173122	0.0308099	0.0585316
250	0.7635555	0.3670383	1.0708694	0.4617555	0.1331927	0.3189474	0.8081760	0.4785319	0.0150063	0.0856821
300	0.7373344	0.3506879	1.0693517	0.4415352	0.1381580	0.3156958	0.8624848	0.5181785	0.0228450	0.0888733
350	0.7609574	0.3883729	1.0967459	0.4971315	0.0949970	0.3060690	0.8282783	0.4468023	0.0350218	0.0816483
400	0.7745354	0.3718018	1.0359387	0.5682365	0.0904452	0.2895789	0.7141589	0.4931376	0.0180028	0.0694375
450	0.7687976	0.3694785	1.1293860	0.5494723	0.1340589	0.3689176	0.8096385	0.5694137	0.0166430	0.0429279
500	0.7007763	0.3636111	1.0522083	0.5808070	0.1709854	0.3858309	0.8491579	0.5793520	0.0217322	0.0607847
550	0.7254528	0.3790397	0.9609712	0.5217627	0.1426009	0.3106484	0.8634136	0.6705983	0.0161359	0.0591010
600	0.7017106	0.3691508	0.9735081	0.4662035	0.1495462	0.3553880	0.8107717	0.8715105	0.0111336	0.0472436
650	0.6874580	0.3679466	1.0567944	0.4872928	0.1124445	0.3256607	0.6672953	0.8903683	0.0150950	0.0942636
700	0.6848986	0.3631047	0.9873050	0.5074529	0.1301566	0.3420244	0.7971883	1.0380478	0.0087180	0.0834851
