"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W

0	0.7156379	0.2422427	0.4386965	0.4996983	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
50	0.4648177	0.2759376	0.4347104	0.4991486	0.4783824	1.0000000	0.2410619	0.3461598	1.0000000	0.9191180
100	0.4007847	0.5156744	0.4339148	0.4980464	0.4783824	1.0000000	0.1469084	0.3271393	1.0000000	0.8930916
150	0.3798592	0.7651351	0.4345944	0.4973229	0.4783824	1.0000000	0.1352278	0.3248768	1.0000000	0.8847168
200	0.3680612	0.8695310	0.4355577	0.4972267	0.4783824	1.0000000	0.1337787	0.3246077	1.0000000	0.8820220
250	0.3627208	0.9049586	0.4361105	0.4974930	0.4783824	1.0000000	0.1335989	0.3245757	1.0000000	0.8811548
300	0.3610366	0.9164617	0.4361511	0.4977832	0.4783824	1.0000000	0.1335766	0.3245719	1.0000000	0.8808758
350	0.3607254	0.9201040	0.4359215	0.4979196	0.4783824	1.0000000	0.1335739	0.3245714	1.0000000	0.8807860
400	0.3607695	0.9211831	0.4356923	0.4979040	0.4783824	1.0000000	0.1335735	0.3245714	1.0000000	0.8807571
450	0.3608482	0.9214548	0.4355938	0.4978240	0.4783824	1.0000000	0.1335735	0.3245714	1.0000000	0.8807478
500	0.3608971	0.9215088	0.4356144	0.4977585	0.4783824	1.0000000	0.1335735	0.3245714	1.0000000	0.8807448
550	0.6643193	0.7379179	0.4401150	0.4982246	0.4783824	1.0000000	0.8925115	0.4844736	1.0000000	0.9616259
600	0.7724005	0.4222219	0.4412175	0.4994553	0.4783824	1.0000000	0.9866650	0.5034941	1.0000000	0.9876519
650	0.7786067	0.3004880	0.4405633	0.5003340	0.4783824	1.0000000	0.9983457	0.5057566	1.0000000	0.9960266
700	0.7570484	0.2607846	0.4394742	0.5005028	0.4783824	1.0000000	0.9997948	0.5060257	1.0000000	0.9987214
750	0.7375612	0.2481205	0.4387974	0.5002250	0.4783824	1.0000000	0.9999745	0.5060577	1.0000000	0.9995886
800	0.7259084	0.2440750	0.4387074	0.4998896	0.4783824	1.0000000	0.9999968	0.5060615	1.0000000	0.9998676
850	0.7200762	0.2428019	0.4389537	0.4997182	0.4783824	1.0000000	0.9999996	0.5060620	1.0000000	0.9999574
900	0.7174373	0.2424374	0.4392223	0.4997246	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	0.9999863
950	0.7163228	0.2423600	0.4393478	0.4998136	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	0.9999956
1000	0.7158779	0.2423540	0.4393320	0.4998917	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	0.9999986

0	0.7156379	0.2422427	0.4386965	0.4996983	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
50	0.7156058	0.2422314	0.4391140	0.4996335	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
100	0.7155891	0.2422811	0.4393739	0.4997401	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
150	0.7155895	0.2423319	0.4394084	0.4998689	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
200	0.7155981	0.2423542	0.4393137	0.4999347	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
250	0.7156057	0.2423500	0.4392106	0.4999322	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
300	0.7156086	0.2423352	0.4391624	0.4998980	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
350	0.7156075	0.2423239	0.4391685	0.4998680	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
400	0.7156051	0.2423206	0.4391974	0.4998572	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
450	0.7156034	0.2423232	0.4392209	0.4998619	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
500	0.7156031	0.2423271	0.4392283	0.4998715	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
550	0.7156036	0.2423295	0.4392236	0.4998779	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
600	0.7156042	0.2423297	0.4392158	0.4998791	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
650	0.7156045	0.2423288	0.4392109	0.4998771	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
700	0.7156045	0.2423278	0.4392102	0.4998747	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
750	0.7156043	0.2423274	0.4392120	0.4998735	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
800	0.7156042	0.2423275	0.4392139	0.4998735	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
850	0.7156041	0.2423277	0.4392148	0.4998741	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
900	0.7156042	0.2423280	0.4392147	0.4998747	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
950	0.7156042	0.2423280	0.4392142	0.4998749	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
1000	0.7156042	0.2423280	0.4392137	0.4998748	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000

0	0.7156379	0.2422427	0.4386965	0.4996983	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
50	0.7507729	0.2410818	0.3825351	0.7358697	0.4968041	0.8007336	1.0000000	0.3128247	0.7136079	1.0000000
100	0.7929659	0.2262263	0.2662140	0.8199596	0.5424949	0.7423815	1.0000000	0.3361651	0.6356868	1.0000000
150	0.8077597	0.1801723	0.1851194	0.8582303	0.5797161	0.7252940	1.0000000	0.3691302	0.6144862	1.0000000
200	0.7983617	0.1167900	0.1405316	0.8823457	0.6002915	0.7202902	1.0000000	0.3868675	0.6087180	1.0000000
250	0.7789223	0.0700121	0.1169498	0.8978550	0.6096616	0.7188249	1.0000000	0.3944393	0.6071486	1.0000000
300	0.7603624	0.0453552	0.1043171	0.9068671	0.6134713	0.7183958	1.0000000	0.3973479	0.6067216	1.0000000
350	0.7473688	0.0339446	0.0974728	0.9116197	0.6149114	0.7182702	1.0000000	0.3984014	0.6066054	1.0000000
400	0.7397712	0.0288158	0.0937833	0.9139394	0.6154292	0.7182334	1.0000000	0.3987692	0.6065738	1.0000000
450	0.7357779	0.0264762	0.0918327	0.9150034	0.6156087	0.7182226	1.0000000	0.3988944	0.6065652	1.0000000
500	0.7338043	0.0253786	0.0908298	0.9154671	0.6156693	0.7182194	1.0000000	0.3989362	0.6065629	1.0000000
550	0.6848982	0.0251633	0.1061108	0.6551208	0.5927815	0.9174849	1.0000000	0.6442374	0.8929544	1.0000000
600	0.6318666	0.0308852	0.1703456	0.5540266	0.5433526	0.9758367	1.0000000	0.5929731	0.9708752	1.0000000
650	0.6167406	0.0626169	0.2646659	0.5003764	0.5083198	0.9929242	1.0000000	0.5441381	0.9920758	1.0000000
700	0.6282010	0.1286917	0.3577227	0.4726383	0.4906785	0.9979279	1.0000000	0.5208449	0.9978440	1.0000000
750	0.6524798	0.1888649	0.4270452	0.4712284	0.4830804	0.9993932	1.0000000	0.5114713	0.9994134	1.0000000
