"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.9962870	0.3939071	0.4817342	0.9910975	0.1108438	0.6887647	0.9290014	0.5093445	0.9563343	0.2256019
50	0.9962883	0.3939215	0.4817243	0.9930798	0.0520385	0.6891165	0.9367466	0.7360235	0.9564201	0.2255576
100	0.9962890	0.3939370	0.4815159	0.9964953	0.0348347	0.6917511	0.9478024	0.7825370	0.9564646	0.2255349
150	0.9962897	0.3940216	0.4807141	0.9983628	0.0297406	0.6955225	0.9530796	0.7920810	0.9564878	0.2255197
200	0.9962916	0.3942950	0.4794499	0.9991251	0.0281619	0.6984061	0.9550724	0.7940395	0.9565023	0.2254920
250	0.9962969	0.3947971	0.4781960	0.9994081	0.0276256	0.7000520	0.9557717	0.7944430	0.9565211	0.2254219
300	0.9963063	0.3954385	0.4772494	0.9995098	0.0274212	0.7008508	0.9560087	0.7945301	0.9565593	0.2252895
350	0.9963189	0.3960814	0.4766505	0.9995461	0.0273359	0.7012011	0.9560874	0.7945554	0.9566280	0.2251008
400	0.9963325	0.3966243	0.4763153	0.9995594	0.0272987	0.7013445	0.9561134	0.7945705	0.9567270	0.2248838
450	0.9963449	0.3970282	0.4761438	0.9995643	0.0272824	0.7014005	0.9561223	0.7945840	0.9568451	0.2246718
500	0.9963549	0.3973010	0.4760618	0.9995662	0.0272754	0.7014216	0.9561256	0.7945962	0.9569661	0.2244893
550	0.9963622	0.3974718	0.4760272	0.9988846	0.0851690	0.7012719	0.9520176	0.5679877	0.9570760	0.2243471
600	0.9963672	0.3975687	0.4761150	0.9964298	0.1021202	0.6997066	0.9424614	0.5214996	0.9571663	0.2242452
650	0.9963702	0.3975802	0.4766142	0.9939840	0.1072277	0.6965956	0.9351037	0.5119676	0.9572345	0.2241787
700	0.9963710	0.3974319	0.4776127	0.9925022	0.1089921	0.6934240	0.9313768	0.5100153	0.9572812	0.2241481
750	0.9963687	0.3970633	0.4788266	0.9917738	0.1097962	0.6911668	0.9298575	0.5096142	0.9573057	0.2241665
800	0.9963623	0.3965096	0.4799111	0.9914360	0.1102546	0.6898809	0.9293059	0.5095256	0.9573024	0.2242494
850	0.9963520	0.3958828	0.4806971	0.9912739	0.1105287	0.6892486	0.9291169	0.5094936	0.9572646	0.2243979
900	0.9963394	0.3952987	0.4811874	0.9911908	0.1106846	0.6889676	0.9290529	0.5094668	0.9571910	0.2245921
950	0.9963267	0.3948272	0.4814610	0.9911464	0.1107668	0.6888509	0.9290298	0.5094375	0.9570894	0.2248010
1000	0.9963155	0.3944860	0.4816014	0.9911227	0.1108074	0.6888043	0.9290195	0.5094083	0.9569743	0.2249954

0	0.9962870	0.3939071	0.4817342	0.9910975	0.1108438	0.6887647	0.9290014	0.5093445	0.9563343	0.2256019
50	0.9973326	0.2297239	0.4729480	0.9934638	0.0381168	0.7913766	0.9712663	0.5179373	0.9715457	0.0831134
100	0.9951450	0.1677267	0.4533974	0.9972292	0.0164336	0.8181173	0.9761283	0.5529460	0.9914931	0.0306296
150	0.9904158	0.1478878	0.4386215	0.9990397	0.0098911	0.8258421	0.9779640	0.6194496	0.9981397	0.0112984
