YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.2825836	0.1335068	0.4245706	0.2800064	0.2876986	0.7008850	0.7161084	0.3888898	0.7170429	0.7575418
0.5165969	0.0919493	0.1985248	0.3888567	0.3797443	0.7281809	0.6959133	0.3408163	0.7484209	0.7052040
0.6019928	0.1277729	0.1593782	0.2773165	0.3082345	0.6283121	0.6856002	0.3602767	0.6784265	0.8407406
0.5608961	0.1920668	0.5746709	0.1878081	0.3136032	0.6665750	0.6540062	0.3885419	0.6968614	0.6979349
0.6052732	0.2302805	0.3403369	0.2528207	0.2599710	0.7367774	0.6082270	0.6197768	0.6388078	0.7752209
0.5341280	0.1722943	0.2036231	0.4418789	0.4569602	0.3762172	0.6911269	0.3340009	0.6794916	0.7979329
0.5840401	0.2901915	0.3474463	0.3654178	0.3095189	0.6630289	0.4577753	0.3376024	0.6952697	0.7387548
0.7118377	0.2360034	0.3678813	0.4781290	0.2697860	0.7242236	0.7785098	0.2758572	0.7831884	0.6585915
0.4053112	0.1430719	0.3375294	0.3165222	0.3182251	0.6761591	0.7757659	0.4799743	0.4001358	0.6879803
0.5707823	0.1383748	0.3036474	0.3389177	0.3702307	0.7825168	0.8739266	0.4079149	0.8088743	0.3842621
