"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C

0	0.5984463	0.4289655	0.5414982	0.1530652	0.2424332	0.3759079	1.0577535	0.2360688	0.7576962	0.3928450
50	0.4551300	0.6220610	0.4073402	0.0592873	0.1877901	0.3376163	0.9241342	0.2808918	0.6258467	0.3718517
100	0.2980910	0.6887638	0.3908865	0.0524882	0.1844014	0.4553259	0.9618184	0.3316903	0.6300377	0.4796480
150	0.2169899	0.6666365	0.3847423	0.0580121	0.1793537	0.4598714	0.8622751	0.3587690	0.5130810	0.6051233
200	0.2034317	0.6187765	0.3473374	0.0670536	0.2140488	0.4561126	0.8182475	0.2756097	0.4195491	0.7136412
250	0.2114019	0.6674785	0.3594379	0.1159530	0.2698490	0.5440382	0.8029374	0.3082736	0.3128095	0.7223623
300	0.1831947	0.6729775	0.2854603	0.1877133	0.3126069	0.5551789	0.9236021	0.2419829	0.3066315	0.7212406
350	0.1537612	0.7080118	0.1920062	0.3171989	0.2869469	0.5276413	0.8924715	0.2598344	0.2587181	0.7316289
400	0.1428052	0.9001886	0.1159432	0.2722635	0.2659186	0.5438929	0.9822976	0.1690403	0.2914366	0.6872098
450	0.1069701	1.0115213	0.0814252	0.2501119	0.2148787	0.4778610	0.9882275	0.1396021	0.3297119	0.5855931
500	0.0744236	0.9447732	0.0603945	0.1784274	0.2311581	0.3877236	0.9383710	0.2123835	0.3640090	0.5249826
550	0.1031201	1.0510360	0.1787387	0.1113703	0.1701518	0.3837266	0.8988390	0.2272396	0.3834772	0.5660029
600	0.1055140	0.9484802	0.3766284	0.0704225	0.1641026	0.4437128	0.8341445	0.3307308	0.4317667	0.6802389
650	0.1772019	0.7593065	0.6190946	0.0788237	0.1924461	0.3953066	0.9461342	0.3559556	0.4454476	0.7875609
700	0.2525455	0.6585804	0.7490215	0.0799612	0.2384131	0.4211057	0.9426488	0.3229636	0.2807245	0.7327608
750	0.2960637	0.5561042	0.7582023	0.0825370	0.1823804	0.4747803	0.8743272	0.2581642	0.2977702	0.7812073
800	0.4238467	0.4261808	0.8730398	0.0646069	0.1913447	0.5036282	0.8544721	0.3341185	0.3133347	0.6158984
850	0.5715629	0.3794222	0.8090347	0.0976654	0.2226002	0.4621509	0.8764337	0.3979392	0.3169371	0.5740763
900	0.6497603	0.3596119	0.7908152	0.2059669	0.2699996	0.4105392	0.8365163	0.2990604	0.3159150	0.4564822
950	0.7427299	0.3563369	0.5440380	0.2112123	0.2455028	0.4508803	0.8403520	0.1891387	0.4528665	0.3814767
1000	0.7158541	0.3775599	0.3704881	0.2246495	0.2246758	0.4535311	1.0176057	0.1754422	0.6492412	0.3139260

0	0.5984463	0.4289655	0.5414982	0.1530652	0.2424332	0.3759079	1.0577535	0.2360688	0.7576962	0.3928450
50	0.4492907	0.5343774	0.3557839	0.1556625	0.2021666	0.4510638	1.0454722	0.2577687	0.8475259	0.3938597
100	0.4030913	0.5909226	0.2793584	0.0756441	0.1287065	0.3990669	0.9504791	0.1982034	0.7376451	0.5161168
150	0.4417693	0.6896828	0.3015293	0.0675505	0.1680098	0.4086320	0.9576401	0.2042583	0.6626885	0.5719242
200	0.3855405	0.7281332	0.2824988	0.0816093	0.2149510	0.4019154	1.0355833	0.1757312	0.6055487	0.5345474
250	0.3010951	0.7876033	0.3281221	0.0863802	0.1663597	0.3696690	1.0625563	0.1590887	0.5975208	0.5515598
300	0.2657841	0.8403460	0.2595451	0.1178614	0.1719848	0.3971669	1.0531740	0.1350610	0.5284392	0.6717704
350	0.1870654	0.7979154	0.1990233	0.1436653	0.2186676	0.3914431	1.0325434	0.1312020	0.4057081	0.6677410
400	0.2304325	0.8851621	0.1682913	0.1367742	0.2231104	0.4108333	0.9011295	0.0871636	0.3555443	0.6187948
450	0.2589981	0.8519881	0.1629379	0.1311823	0.2251451	0.4043188	1.0560059	0.0708047	0.3601655	0.6865679
500	0.2138675	1.0312247	0.1604327	0.1678769	0.2358272	0.4276384	1.0245688	0.1217638	0.3218181	0.6925156
