YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.4438607	0.9951699	0.9714792	0.9998076	0.0635156	0.1497407	0.8364666	0.4236601	0.9999323	1.0000000
0.8686489	0.4976916	0.9714806	0.9998366	0.0604003	0.1441717	0.8908072	0.3386105	0.9999439	1.0000000
0.8657168	0.8897431	0.4857510	0.9998366	0.0604089	0.1441919	0.8905424	0.3390722	0.9999438	1.0000000
0.8685979	0.9931958	0.9004158	0.5001462	0.0604003	0.1441719	0.8908034	0.3386180	0.9999439	1.0000000
0.8686489	0.9951701	0.9714878	0.9999828	0.0302062	0.1441717	0.8908072	0.3386105	0.9999439	1.0000000
0.8686441	0.9951701	0.9714881	0.9999820	0.0315943	0.0720990	0.8908124	0.3386017	0.9999983	1.0000000
0.8687623	0.9951650	0.9712363	0.9949778	0.1615758	0.2723717	0.4453411	0.3388241	0.9986131	1.0000000
0.8275125	0.9951700	0.9714819	0.9998656	0.0569324	0.1377173	0.9708959	0.1726510	0.9999553	1.0000000
0.9281212	0.9951699	0.9714777	0.9997769	0.0663208	0.1545330	0.7974570	0.4805208	0.4999619	1.0000000
0.8686488	0.9951699	0.9714806	0.9998367	0.0604003	0.1441717	0.8908072	0.3386105	0.9999439	0.5002841
