YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0784092	0.4636615	0.7131410	0.9893323	0.6820491	1.0443649	0.0358525	0.1554506	0.0718466	0.9499369
0.6040523	0.2546901	0.8052554	1.1223054	0.6138419	0.9508171	0.0700543	0.1577098	0.0991775	0.9660426
0.0983473	0.9132648	0.2866585	0.8952181	0.5501177	1.0252128	0.0460997	0.1141206	0.0487096	0.9889487
0.0663700	0.9195394	0.2315769	0.5267093	0.6604728	1.1031141	0.0362957	0.1401528	0.0241374	1.0314641
0.2237394	0.4465482	0.6830953	1.0515886	0.3163753	0.9287949	0.0557459	0.1272169	0.0375041	1.0072602
0.3004457	0.4513363	0.7240328	1.1103851	0.3116330	0.6103024	0.0627490	0.1059851	0.0414063	1.1799495
0.1471070	0.5329622	0.7177593	1.0365548	0.6713734	0.9483558	0.0203962	0.1361442	0.0391029	0.9691603
0.1521272	0.5437494	0.7220984	1.0697576	0.6742088	0.9935012	0.0210488	0.0418488	0.0535031	1.0335798
0.2048597	0.5814023	0.7327809	1.0642982	0.6912879	1.1390270	0.0260086	0.0846426	0.0251547	0.9597409
0.2839797	0.5154663	0.6622545	0.9518684	0.4213128	0.7145347	0.2054210	0.2849540	0.1787321	0.5219257
