YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.7014009	0.1594481	1.0066629	0.5230099	0.9917934	1.0788030	0.0209765	0.6072984	0.1949400	0.0025800
0.7357008	0.1187086	1.0129928	0.4967464	0.9134163	1.0740098	0.0528901	0.6762350	0.2006054	0.0013005
0.6260139	0.2144976	0.8861512	0.1963377	0.5346890	1.0993827	0.0966713	0.9153541	0.2076367	0.0979401
0.6420525	0.1309633	0.9639175	0.2479019	0.4983747	1.0652146	0.1258368	0.8382318	0.8932164	0.7956254
0.7486834	0.2294587	1.0023680	0.5257272	0.7134238	1.0042090	0.0023447	0.5956432	0.0746691	0.0769770
0.4687285	0.3265686	0.7042789	0.2065411	0.4332849	0.8310327	0.0036449	0.6548615	0.2393586	0.0867859
0.8129294	0.0799685	1.0546177	0.3739661	0.6034893	1.1087302	0.1495239	0.6861037	0.1962878	0.0866815
0.6838686	0.1208712	1.0541791	0.4172504	0.8107541	0.7776403	0.1887337	0.5984237	0.0423236	0.0380530
0.4200060	0.2928020	0.9549182	0.2325625	0.5067824	1.0817000	0.0120443	0.4754623	0.0725355	0.0251781
0.6306267	0.1664724	0.9367963	0.3273820	0.6353209	0.8204919	0.0091721	1.0500489	0.3196719	0.0968231
