YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0195682	0.0117944	0.0320122	0.6007778	0.3159648	1.0154936	0.9213057	1.1202723	0.2649904	0.9131773
0.2554475	0.0741058	0.5261500	0.1840813	0.6858155	0.4783815	0.5176112	0.7556122	0.6315539	0.8273773
0.3357409	0.1990936	0.4588663	0.2802835	0.4353258	0.6362585	0.6756306	0.8681719	0.8228266	0.8450798
0.0008399	0.0294030	0.2558955	0.3071388	0.4576241	0.7161393	0.5696127	0.9123451	0.3315556	0.7382222
0.0013498	0.0118715	0.3089552	0.2968453	0.5328442	0.6244033	0.5912195	0.9708381	0.5035700	0.9619358
0.3677240	0.1878417	0.1997146	0.3193921	0.2770415	0.6771583	0.6818544	0.9433272	0.0623444	0.9844727
0.1729344	0.3063539	0.0781344	0.6770626	0.1876898	0.7630856	0.6200618	1.0592487	0.0803162	0.9997262
0.2169439	0.1411442	0.2261848	0.4376459	0.3392023	0.4565780	0.5306251	0.7264433	0.1476458	0.6003898
0.0000977	0.0259504	0.2514106	0.2019463	0.6406723	0.6061849	0.6455605	1.0382103	0.2744905	0.9971328
0.0406310	0.0364601	0.2664596	0.3073621	0.3292999	0.8157707	0.8294033	0.9478938	0.3024113	0.9539054
