"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.5286735	0.3158905	0.6884389	0.4171941	0.0664469	0.2158769	0.5239222	0.8820468	0.0050721	0.0595218
50	0.4178978	0.4019106	0.7043047	0.3514325	0.0752683	0.1778084	0.5820997	0.5026894	0.0039997	0.1025342
100	0.5403604	0.2379526	0.7032842	0.4480008	0.0789920	0.2018952	0.6477460	0.4304417	0.0040660	0.0536390
150	0.5616741	0.2912507	0.7117200	0.4437718	0.0882941	0.2185194	0.5998361	0.3589640	0.0140550	0.0717401
200	0.6011102	0.2871211	0.9255122	0.3336587	0.1099450	0.2473421	0.5452143	0.3418894	0.0126304	0.0255481
250	0.5681476	0.3353581	0.7146909	0.3752603	0.1336756	0.3118270	0.6402268	0.3290847	0.0181562	0.0743083
300	0.5538381	0.2721628	0.8466750	0.3598850	0.1065008	0.2434705	0.7177053	0.4558845	0.0278239	0.0785456
350	0.5868373	0.2877432	0.7687031	0.3869089	0.0596634	0.1926343	0.5559507	0.3562912	0.0383867	0.0714354
400	0.5595734	0.1638777	0.8514695	0.4599871	0.0743635	0.1830948	0.5710658	0.3455074	0.0349801	0.0388370
450	0.4911347	0.2974910	1.0541982	0.4468148	0.1010393	0.2298276	0.6491402	0.4245870	0.0204513	0.0331894
500	0.5017297	0.2554865	0.6988765	0.4389286	0.1364413	0.2701553	0.6407737	0.5087978	0.0106138	0.0334633
550	0.5134846	0.2443893	0.7678560	0.3503241	0.1131882	0.2640036	0.5425219	0.5488181	0.0287769	0.0537590
600	0.5353390	0.2737290	0.7332358	0.3775320	0.1091451	0.2966374	0.6375585	0.6269430	0.0076195	0.0328376
650	0.4432090	0.2520808	0.7553127	0.3735376	0.0647044	0.2434035	0.6137380	0.6739738	0.0063431	0.0919346
700	0.5322485	0.2791761	0.7262650	0.3470977	0.0871465	0.2803468	0.5819618	0.7368239	0.0095016	0.0688484
750	0.5113077	0.3159740	0.7724478	0.2994778	0.1672234	0.2242411	0.5704847	0.8451708	0.0117707	0.0444628
800	0.6069656	0.3751456	0.6226668	0.3522285	0.0798980	0.2775384	0.5139374	0.8639573	0.0037363	0.0437166
850	0.4965814	0.3247279	0.6373003	0.3704809	0.0639359	0.2229708	0.6233268	0.7459761	0.0095876	0.0665147
900	0.3919549	0.2988162	0.7546997	0.4678537	0.0635764	0.2720535	0.6773723	0.5686881	0.0115498	0.0842896
950	0.4740122	0.3461659	0.7956545	0.3207874	0.0850186	0.3535250	0.6315153	0.8250326	0.0198230	0.0566576
1000	0.3659653	0.3105155	0.7306761	0.3232498	0.0575775	0.2374196	0.7130984	0.7638300	0.0155738	0.0707012

0	0.5387624	0.3847243	0.7451794	0.4169808	0.0682765	0.2792623	0.4576970	0.7435820	0.0015759	0.0854819
50	0.3838231	0.3185887	0.6762126	0.3551814	0.1672383	0.2697942	0.6334454	0.6828121	0.0040695	0.0725228
100	0.1527524	0.3590788	0.4148078	0.3143843	0.3463692	0.2928231	0.7232566	0.7273410	0.0257614	0.0753372
150	0.0549901	0.3156157	0.4197865	0.2697449	0.4462789	0.2715372	0.6669502	0.7146701	0.0206492	0.0773636
