YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.9721984	0.4775533	0.3213282	0.8989776	0.4892471	0.7077066	0.4409966	0.0440779	0.3187248	0.4798202
0.9644134	0.4003685	0.3753760	0.7438705	0.7862110	0.4940434	0.7113532	0.5285064	0.5578894	0.7034916
0.9191060	0.4587593	0.2953490	0.7498819	0.6592728	0.4036962	0.7536114	0.0267214	0.3242079	0.7041032
0.9007168	0.3567608	0.5593830	0.2883017	0.3811461	0.5437404	1.0030876	0.1034733	0.5105528	0.5167997
0.8341235	0.4704514	0.3858653	0.7938357	0.2220460	0.9656433	0.4907022	0.1084096	0.2913324	0.4596637
0.8701495	0.4124201	0.4429113	0.4635973	0.3453132	0.7153808	0.3395906	0.3552515	0.7085148	0.1945439
0.9357736	0.4702967	0.2432019	0.8036905	0.4739016	0.6840069	0.7515624	0.0826018	0.3144473	0.6045258
0.8302164	0.2810624	0.2725893	0.9061153	0.2327483	0.7626734	0.5452453	0.0007537	0.2322494	0.4890298
0.8897816	0.4027616	0.4734255	0.6396394	0.9655443	0.3034499	0.9353228	0.0009574	0.2415527	0.8823818
0.8419256	0.2987891	0.7374442	0.5453768	0.4184955	0.6218491	0.8599271	0.3511099	0.3842725	0.6176533
