YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.6285785	0.4872635	0.6750273	0.5975135	0.9072454	0.2861079	0.0834378	0.0800856	1.0000000	0.9823234
0.4409460	0.6886606	0.6894287	0.5796087	0.6785574	0.2317307	0.0622327	0.1213815	1.0000000	0.7127068
0.6265964	0.6501282	0.7698613	0.4785748	0.7000472	0.2534761	0.0003574	0.1324675	0.9391128	0.9714295
0.2094002	0.7063146	0.6199901	0.6722805	0.9267156	0.5075766	0.0004124	0.1372913	0.9152614	0.7634347
0.9129973	0.4725372	0.8116417	0.4260452	0.7294623	0.2636614	0.0002516	0.1213815	1.0000000	0.9755874
0.5654690	0.5080967	0.5187792	0.5642359	0.8088442	0.4839476	0.1234304	0.0870123	1.0000000	0.9058811
0.1285439	0.4569573	0.3468167	0.7753089	0.9309660	0.5359679	0.0083441	0.1887500	0.5876210	0.9986248
0.2398686	0.3829157	0.5861596	0.7214366	0.9723977	0.6019124	0.2175324	0.1213815	1.0000000	0.9991460
0.4452568	0.6238121	0.5931000	0.5985053	0.9132582	0.3924416	0.3822427	0.1255137	0.9762203	0.9951183
0.6314346	0.4485884	0.6761817	0.5966732	0.8341683	0.2274928	0.0000935	0.0948645	1.0000000	0.8524316
