"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
400	0.9726071	0.0680156	0.6937397	0.9999984	0.0068482	0.0036331	0.9997289	0.0467482	0.0627017	1.0000000
450	0.9746497	0.0679620	0.6936564	0.9999993	0.0067502	0.0035829	0.9998820	0.0407011	0.0600363	1.0000000
500	0.9753696	0.0679512	0.6936185	0.9999996	0.0067154	0.0035660	0.9999471	0.0374110	0.0589191	1.0000000
550	0.9495747	0.2277354	0.6936019	0.9999997	0.0071274	0.0924548	0.9999741	0.0357205	0.0585294	1.0000000
600	0.7891474	0.3754760	0.6935947	0.9999997	0.0132423	0.1716136	0.9999851	0.0365640	0.0619103	1.0000000
650	0.6034994	0.4414994	0.6935917	0.9999986	0.0266816	0.2060995	0.9999880	0.0454673	0.0819907	1.0000000
700	0.4842864	0.4658529	0.6935910	0.9999913	0.0404051	0.2187233	0.9999789	0.0679342	0.1210914	1.0000000
750	0.4243302	0.4740578	0.6935956	0.9999719	0.0500759	0.2230176	0.9999203	0.1016255	0.1633118	1.0000000
800	0.3977939	0.4766775	0.6936292	0.9999425	0.0556126	0.2244263	0.9996976	0.1374078	0.1960305	1.0000000
850	0.3869430	0.4774731	0.6937568	0.9999123	0.0583978	0.2248796	0.9991554	0.1675382	0.2168878	1.0000000
900	0.3827494	0.4776711	0.6940506	0.9998884	0.0596821	0.2250183	0.9982599	0.1892600	0.2286331	1.0000000
950	0.3812134	0.4776418	0.6945101	0.9998725	0.0602368	0.2250421	0.9971681	0.2033421	0.2347027	1.0000000
1000	0.3807068	0.4775002	0.6950502	0.9998632	0.0604598	0.2250118	0.9961081	0.2118084	0.2376406	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.2432842	0.4726636	0.7768168	0.9998555	0.0603254	0.2222985	0.9937158	0.2279604	0.3266204	0.9729014
100	0.1106128	0.4523191	0.8767466	0.9998550	0.0591683	0.2080661	0.9928107	0.2706145	0.3992099	0.9451505
150	0.0492037	0.4249532	0.9394542	0.9998585	0.0549300	0.1863252	0.9885048	0.3303155	0.4267020	0.9312069
200	0.0263903	0.4026578	0.9720972	0.9998743	0.0481185	0.1670679	0.9790802	0.3783140	0.4289646	0.9254068
250	0.0192134	0.3883394	0.9876464	0.9999013	0.0410354	0.1541906	0.9662294	0.4090456	0.4177014	0.9231990
300	0.0174724	0.3802997	0.9946787	0.9999301	0.0353550	0.1469713	0.9534020	0.4266969	0.4006204	0.9224006
350	0.0173351	0.3761532	0.9977531	0.9999530	0.0315099	0.1434389	0.9430150	0.4362450	0.3834557	0.9221212
400	0.0175366	0.3741356	0.9990654	0.9999684	0.0292060	0.1419260	0.9357246	0.4412227	0.3695098	0.9220257
450	0.0177288	0.3731946	0.9996158	0.9999775	0.0279547	0.1413807	0.9310939	0.4437549	0.3597346	0.9219936
500	0.0178524	0.3727696	0.9998435	0.9999826	0.0273336	0.1412409	0.9283553	0.4450212	0.3536224	0.9219830
550	0.1887645	0.3744213	0.9421022	0.9999853	0.0270795	0.1432555	0.9268441	0.4439191	0.2615969	0.9490780
600	0.3509356	0.3853378	0.8683530	0.9999866	0.0275998	0.1548116	0.9278203	0.4156161	0.1858997	0.9768278
650	0.4193327	0.4028836	0.8127329	0.9999866	0.0299846	0.1719809	0.9372347	0.3532541	0.1563674	0.9907711
700	0.4349543	0.4213763	0.7694369	0.9999843	0.0343701	0.1882594	0.9542235	0.2896276	0.1519883	0.9965710
750	0.4293663	0.4381577	0.7379259	0.9999781	0.0398493	0.2012486	0.9708391	0.2436434	0.1607010	0.9987788
800	0.4177702	0.4518890	0.7179333	0.9999671	0.0453529	0.2106028	0.9825517	0.2172191	0.1754532	0.9995772
850	0.4063470	0.4619477	0.7066272	0.9999513	0.0501286	0.2167529	0.9893681	0.2055103	0.1914624	0.9998565
900	0.3972231	0.4685730	0.7007509	0.9999324	0.0538309	0.2204827	0.9928450	0.2028259	0.2058203	0.9999520
950	0.3907478	0.4725522	0.6979104	0.9999130	0.0564466	0.2225965	0.9943912	0.2047177	0.2172357	0.9999841
1000	0.3865323	0.4747588	0.6966592	0.9998956	0.0581559	0.2237268	0.9949154	0.2083095	0.2255422	0.9999948

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.3813185	0.4764740	0.6967203	0.9981353	0.3392076	0.2251904	0.9081501	0.2211271	0.4432782	1.0000000
100	0.3812827	0.4764824	0.6967278	0.9586668	0.6370070	0.2285918	0.8199585	0.2212508	0.6726350	1.0000000
150	0.3812657	0.4764833	0.6967367	0.8622085	0.7937541	0.2340417	0.7751634	0.2213340	0.7851064	1.0000000
200	0.3812590	0.4764811	0.6967446	0.7683621	0.8620889	0.2390714	0.7562403	0.2213866	0.8294294	1.0000000
250	0.3812574	0.4764782	0.6967505	0.7062367	0.8894000	0.2424909	0.7488918	0.2214181	0.8455622	1.0000000
300	0.3812582	0.4764756	0.6967546	0.6721168	0.8998113	0.2444132	0.7461687	0.2214359	0.8512596	1.0000000
350	0.3812596	0.4764735	0.6967572	0.6552605	0.9036755	0.2453668	0.7451882	0.2214452	0.8532523	1.0000000
400	0.3812610	0.4764720	0.6967588	0.6474757	0.9050895	0.2458010	0.7448416	0.2214495	0.8539486	1.0000000
450	0.3812622	0.4764710	0.6967597	0.6440434	0.9056038	0.2459869	0.7447206	0.2214512	0.8541925	1.0000000
500	0.3812631	0.4764705	0.6967602	0.6425804	0.9057907	0.2460631	0.7446787	0.2214516	0.8542782	1.0000000
550	0.3812637	0.4764701	0.6967605	0.6551489	0.6302752	0.2446689	0.8302577	0.2214515	0.6997868	1.0000000
600	0.3812640	0.4764699	0.6967606	0.7424085	0.3353814	0.2387010	0.9184263	0.2214511	0.5634344	1.0000000
650	0.3812642	0.4764698	0.6967609	0.8584590	0.1786886	0.2324981	0.9632059	0.2214507	0.4847101	1.0000000
700	0.3812644	0.4764697	0.6967611	0.9353632	0.1088325	0.2284801	0.9821188	0.2214504	0.4189048	1.0000000
750	0.3812645	0.4764696	0.6967612	0.9732322	0.0798171	0.2263676	0.9894606	0.2214502	0.3562554	1.0000000
800	0.3812646	0.4764695	0.6967613	0.9894683	0.0681264	0.2253754	0.9921796	0.2214500	0.3063280	1.0000000
850	0.3812646	0.4764695	0.6967614	0.9959378	0.0634695	0.2249409	0.9931576	0.2214499	0.2739658	1.0000000
900	0.3812647	0.4764694	0.6967614	0.9984085	0.0616190	0.2247597	0.9935027	0.2214498	0.2559803	1.0000000
950	0.3812647	0.4764694	0.6967614	0.9993278	0.0608831	0.2246868	0.9936229	0.2214498	0.2469719	1.0000000
1000	0.3812647	0.4764694	0.6967614	0.9996644	0.0605901	0.2246582	0.9936643	0.2214497	0.2427613	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.2411575	0.4764738	0.6967365	0.9998567	0.0574796	0.1636086	0.7867775	0.2280704	0.1500501	0.7796998
100	0.1062472	0.4764600	0.6972789	0.9998745	0.0448894	0.1213118	0.5731992	0.2712871	0.0823500	0.5540963
150	0.0431771	0.4762000	0.7005039	0.9999144	0.0326761	0.1316828	0.4631252	0.3313362	0.0619893	0.4407408
200	0.0188365	0.4750230	0.7092983	0.9999510	0.0285989	0.1701943	0.4134812	0.3792435	0.0590056	0.3935889
250	0.0102757	0.4721054	0.7234444	0.9999714	0.0337078	0.2097810	0.3904237	0.4097271	0.0617765	0.3756401
300	0.0074606	0.4673654	0.7393259	0.9999738	0.0449154	0.2383203	0.3785832	0.4271551	0.0694264	0.3691491
350	0.0066273	0.4616705	0.7533943	0.9999528	0.0575918	0.2555284	0.3719748	0.4365520	0.0806477	0.3668783
400	0.0064583	0.4561499	0.7640421	0.9999015	0.0683985	0.2648898	0.3681736	0.4414412	0.0922621	0.3661019
450	0.0065017	0.4515618	0.7712775	0.9998233	0.0761483	0.2696530	0.3660046	0.4439265	0.1018470	0.3658408
